qkey,attribute,configuration,declared_class_idx,declared_class,declaration,steer_class_idx,steer_class,magnitude,from_idx,to_idx_exclusive,seed,n_options,option_letters,options,response_distribution,question
CARRYGUN_W26,age,declare_adult__steer_older_adult,2,adult,I am an adult.,3,older_adult,13.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.27052304, 0.05490644, 0.61923337, 0.05533708]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,age,declare_older_adult__steer_adult,3,older_adult,I am an older adult.,2,adult,1.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.15853703, 0.03780323, 0.22488691, 0.57877284]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,age,declare_older_adult__steer_adult,3,older_adult,I am an older adult.,2,adult,3.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.06541525, 0.03163275, 0.25125253, 0.65169948]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,age,declare_older_adult__steer_adult,3,older_adult,I am an older adult.,2,adult,5.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.03044848, 0.02777786, 0.24469696, 0.69707674]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,age,declare_older_adult__steer_adult,3,older_adult,I am an older adult.,2,adult,7.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.01767675, 0.02759302, 0.23330076, 0.72142947]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,age,declare_older_adult__steer_adult,3,older_adult,I am an older adult.,2,adult,9.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.01465611, 0.03309262, 0.2279207, 0.72433054]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,age,declare_older_adult__steer_adult,3,older_adult,I am an older adult.,2,adult,13.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.03343825, 0.07587115, 0.25666878, 0.63402182]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,education,declare_some schooling__steer_college and more,0,some schooling,I did not complete high school.,2,college and more,1.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.04646377, 0.07524802, 0.11211579, 0.76617241]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,education,declare_some schooling__steer_college and more,0,some schooling,I did not complete high school.,2,college and more,3.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.05011775, 0.13663386, 0.13543825, 0.67781019]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,education,declare_some schooling__steer_college and more,0,some schooling,I did not complete high school.,2,college and more,5.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.07939923, 0.23362385, 0.18827282, 0.49870417]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,education,declare_some schooling__steer_college and more,0,some schooling,I did not complete high school.,2,college and more,7.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.12486315, 0.28276077, 0.2296585, 0.36271763]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,education,declare_some schooling__steer_college and more,0,some schooling,I did not complete high school.,2,college and more,9.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.16615064, 0.29793617, 0.24316843, 0.29274479]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,education,declare_some schooling__steer_college and more,0,some schooling,I did not complete high school.,2,college and more,13.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.20567647, 0.33976614, 0.23858888, 0.21596849]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,education,declare_college and more__steer_some schooling,2,college and more,I have a college education or higher.,0,some schooling,1.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.35275543, 0.02970055, 0.06474539, 0.55279857]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,education,declare_college and more__steer_some schooling,2,college and more,I have a college education or higher.,0,some schooling,3.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.42636564, 0.02561619, 0.03271764, 0.51530057]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,education,declare_college and more__steer_some schooling,2,college and more,I have a college education or higher.,0,some schooling,5.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.40743899, 0.03392727, 0.02826997, 0.53036374]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,education,declare_college and more__steer_some schooling,2,college and more,I have a college education or higher.,0,some schooling,7.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.32922408, 0.04520759, 0.04209184, 0.58347654]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,education,declare_college and more__steer_some schooling,2,college and more,I have a college education or higher.,0,some schooling,9.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.24714066, 0.06577416, 0.06940355, 0.61768168]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,education,declare_college and more__steer_some schooling,2,college and more,I have a college education or higher.,0,some schooling,13.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.17085691, 0.17247042, 0.09054226, 0.5661304]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,socioeco,declare_low__steer_high,0,low,I have low socioeconomic status.,2,high,1.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.06268883, 0.01065693, 0.17478804, 0.75186622]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,socioeco,declare_low__steer_high,0,low,I have low socioeconomic status.,2,high,3.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.01886693, 0.00466436, 0.10564314, 0.87082565]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,socioeco,declare_low__steer_high,0,low,I have low socioeconomic status.,2,high,5.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.00888252, 0.00382032, 0.05613925, 0.93115795]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,socioeco,declare_low__steer_high,0,low,I have low socioeconomic status.,2,high,7.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.01280939, 0.00669754, 0.05216831, 0.92832476]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,socioeco,declare_low__steer_high,0,low,I have low socioeconomic status.,2,high,9.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.04632292, 0.02175356, 0.10439031, 0.8275333]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,socioeco,declare_low__steer_high,0,low,I have low socioeconomic status.,2,high,13.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.29211524, 0.09502134, 0.2435952, 0.36926827]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,socioeco,declare_high__steer_low,2,high,I have high socioeconomic status.,0,low,1.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.07832445, 0.04869262, 0.16440362, 0.7085793]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,socioeco,declare_high__steer_low,2,high,I have high socioeconomic status.,0,low,3.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.11303134, 0.09784436, 0.18091045, 0.60821384]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,socioeco,declare_high__steer_low,2,high,I have high socioeconomic status.,0,low,5.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.15761179, 0.15428056, 0.15497895, 0.53312874]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,socioeco,declare_high__steer_low,2,high,I have high socioeconomic status.,0,low,7.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.20346235, 0.16728187, 0.10804485, 0.52121091]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,socioeco,declare_high__steer_low,2,high,I have high socioeconomic status.,0,low,9.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.23799521, 0.14100747, 0.07648683, 0.54451048]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
CARRYGUN_W26,socioeco,declare_high__steer_low,2,high,I have high socioeconomic status.,0,low,13.0,19,29,42,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.28703913, 0.11423205, 0.06299259, 0.53573626]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?"
GROWUPGUN2A_W26,gender,declare_male__steer_female,0,male,I am a man.,1,female,1.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.6339699, 0.3660301]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,gender,declare_male__steer_female,0,male,I am a man.,1,female,3.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.619241, 0.38075894]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,gender,declare_male__steer_female,0,male,I am a man.,1,female,5.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.43998796, 0.56001204]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,gender,declare_male__steer_female,0,male,I am a man.,1,female,7.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.31405056, 0.68594944]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,gender,declare_male__steer_female,0,male,I am a man.,1,female,9.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.26170814, 0.73829186]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,gender,declare_male__steer_female,0,male,I am a man.,1,female,13.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.23881637, 0.76118362]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,gender,declare_female__steer_male,1,female,I am a woman.,0,male,1.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.67561746, 0.32438251]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,gender,declare_female__steer_male,1,female,I am a woman.,0,male,3.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.6900894, 0.30991066]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,gender,declare_female__steer_male,1,female,I am a woman.,0,male,5.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.72448063, 0.27551943]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,gender,declare_female__steer_male,1,female,I am a woman.,0,male,7.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.71681368, 0.28318629]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,gender,declare_female__steer_male,1,female,I am a woman.,0,male,9.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.70760679, 0.29239324]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,gender,declare_female__steer_male,1,female,I am a woman.,0,male,13.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.7235049, 0.27649513]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,age,declare_adult__steer_older_adult,2,adult,I am an adult.,3,older_adult,1.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.57701874, 0.42298126]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,age,declare_adult__steer_older_adult,2,adult,I am an adult.,3,older_adult,3.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.45544082, 0.54455924]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,age,declare_adult__steer_older_adult,2,adult,I am an adult.,3,older_adult,5.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.3382957, 0.6617043]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,age,declare_adult__steer_older_adult,2,adult,I am an adult.,3,older_adult,7.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.29138398, 0.70861602]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,age,declare_adult__steer_older_adult,2,adult,I am an adult.,3,older_adult,9.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.36455134, 0.63544869]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,age,declare_adult__steer_older_adult,2,adult,I am an adult.,3,older_adult,13.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.7849791, 0.2150209]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,age,declare_older_adult__steer_adult,3,older_adult,I am an older adult.,2,adult,1.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.9530133, 0.04698664]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,age,declare_older_adult__steer_adult,3,older_adult,I am an older adult.,2,adult,3.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.89733595, 0.10266401]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,age,declare_older_adult__steer_adult,3,older_adult,I am an older adult.,2,adult,5.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.75128341, 0.24871662]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,age,declare_older_adult__steer_adult,3,older_adult,I am an older adult.,2,adult,7.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.52731651, 0.47268346]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,age,declare_older_adult__steer_adult,3,older_adult,I am an older adult.,2,adult,9.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.37799975, 0.62200022]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,age,declare_older_adult__steer_adult,3,older_adult,I am an older adult.,2,adult,13.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.36409897, 0.63590103]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,education,declare_some schooling__steer_college and more,0,some schooling,I did not complete high school.,2,college and more,1.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.38682136, 0.61317867]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,education,declare_some schooling__steer_college and more,0,some schooling,I did not complete high school.,2,college and more,3.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.21067496, 0.78932506]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,education,declare_some schooling__steer_college and more,0,some schooling,I did not complete high school.,2,college and more,5.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.13999788, 0.86000216]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,education,declare_some schooling__steer_college and more,0,some schooling,I did not complete high school.,2,college and more,7.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.13443466, 0.86556542]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,education,declare_some schooling__steer_college and more,0,some schooling,I did not complete high school.,2,college and more,9.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.15559098, 0.84440899]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,education,declare_some schooling__steer_college and more,0,some schooling,I did not complete high school.,2,college and more,13.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.20882359, 0.79117644]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,education,declare_college and more__steer_some schooling,2,college and more,I have a college education or higher.,0,some schooling,1.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.81449586, 0.18550415]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,education,declare_college and more__steer_some schooling,2,college and more,I have a college education or higher.,0,some schooling,3.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.82990593, 0.17009403]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,education,declare_college and more__steer_some schooling,2,college and more,I have a college education or higher.,0,some schooling,5.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.7796576, 0.22034244]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,education,declare_college and more__steer_some schooling,2,college and more,I have a college education or higher.,0,some schooling,7.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.68257374, 0.31742629]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
GROWUPGUN2A_W26,education,declare_college and more__steer_some schooling,2,college and more,I have a college education or higher.,0,some schooling,9.0,19,29,42,2,"[""A"", ""B""]","[""Yes, was a reason"", ""No, was not a reason""]","[0.52829003, 0.47170994]",Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection
