qkey,attribute,channel,class_label,magnitude,n_occupations,response_distribution
GUNCONTRIBC_W26,socioeco,inferred,high,,5,"[0.30798011, 0.08559539, 0.41624988, 0.19017462]"
GUNCONTRIBE_W26,socioeco,inferred,low,,5,"[0.16536124, 0.0287682, 0.47112675, 0.3347438]"
GUNCONTRIBE_W26,socioeco,inferred,high,,5,"[0.16235019, 0.04252158, 0.47510297, 0.32002527]"
GUNCONTRIBF_W26,socioeco,inferred,low,,5,"[0.2386009, 0.04499456, 0.41283606, 0.30356851]"
GUNCONTRIBF_W26,socioeco,inferred,high,,5,"[0.2569085, 0.06478287, 0.49030223, 0.1880064]"
GUNFRIEND_W26,socioeco,inferred,low,,5,"[0.20536712, 0.09748361, 0.21021759, 0.48693166]"
GUNFRIEND_W26,socioeco,inferred,high,,5,"[0.3677, 0.09238167, 0.16017541, 0.3797429]"
GUNIDENTITY_W26,socioeco,inferred,low,,5,"[0.05264092, 0.04620446, 0.13128819, 0.76986643]"
GUNIDENTITY_W26,socioeco,inferred,high,,5,"[0.11667346, 0.05502971, 0.14394918, 0.68434764]"
GUNLOADED1_W26,socioeco,inferred,low,,5,"[0.28978264, 0.14232394, 0.56789343]"
GUNLOADED1_W26,socioeco,inferred,high,,5,"[0.32612681, 0.14611333, 0.52775986]"
GUNLOADED2_W26,socioeco,inferred,low,,5,"[0.77364699, 0.22635302]"
GUNLOADED2_W26,socioeco,inferred,high,,5,"[0.80947595, 0.19052407]"
GUNLOCKED1_W26,socioeco,inferred,low,,5,"[0.31001735, 0.18483807, 0.50514457]"
GUNLOCKED1_W26,socioeco,inferred,high,,5,"[0.36009122, 0.200966, 0.43894276]"
GUNLOCKED2_W26,socioeco,inferred,low,,5,"[0.69330027, 0.30669972]"
GUNLOCKED2_W26,socioeco,inferred,high,,5,"[0.71192947, 0.28807052]"
GUNRESPKIDSD_W26,socioeco,inferred,low,,5,"[0.52193293, 0.09237359, 0.16562701, 0.22006645]"
GUNRESPKIDSD_W26,socioeco,inferred,high,,5,"[0.43914343, 0.14284349, 0.16617855, 0.25183454]"
GUNRESPKIDSE_W26,socioeco,inferred,low,,5,"[0.60798162, 0.10820657, 0.11003193, 0.17377986]"
GUNRESPKIDSE_W26,socioeco,inferred,high,,5,"[0.50843089, 0.15644265, 0.12918816, 0.20593829]"
GUNRESPNOKIDSA_W26,socioeco,inferred,low,,5,"[0.54493157, 0.07648936, 0.15111312, 0.22746591]"
GUNRESPNOKIDSA_W26,socioeco,inferred,high,,5,"[0.49422731, 0.10181772, 0.15467732, 0.24927767]"
GUNRESPNOKIDSB_W26,socioeco,inferred,low,,5,"[0.4220665, 0.09136289, 0.19058697, 0.29598366]"
GUNRESPNOKIDSB_W26,socioeco,inferred,high,,5,"[0.39086064, 0.1058978, 0.18323234, 0.32000921]"
GUNRESPNOKIDSC_W26,socioeco,inferred,low,,5,"[0.49027186, 0.04635484, 0.18480651, 0.27856681]"
GUNRESPNOKIDSC_W26,socioeco,inferred,high,,5,"[0.44562806, 0.0887694, 0.20122662, 0.2643759]"
GUNRESPNOKIDSD_W26,socioeco,inferred,low,,5,"[0.45187681, 0.10050025, 0.29753938, 0.15008355]"
GUNRESPNOKIDSD_W26,socioeco,inferred,high,,5,"[0.3761699, 0.13894202, 0.30354515, 0.1813429]"
GUNRESPNOKIDSE_W26,socioeco,inferred,low,,5,"[0.54396169, 0.09485747, 0.21811284, 0.14306802]"
GUNRESPNOKIDSE_W26,socioeco,inferred,high,,5,"[0.4140965, 0.14384172, 0.26848878, 0.17357298]"
GUNRESPNOKIDSF_W26,socioeco,inferred,low,,5,"[0.56304094, 0.09153626, 0.16557838, 0.17984444]"
GUNRESPNOKIDSF_W26,socioeco,inferred,high,,5,"[0.45112378, 0.15800331, 0.18043213, 0.21044076]"
GUNSAFETYKIDS_W26,socioeco,inferred,low,,5,"[0.66367977, 0.28481607, 0.05150418]"
GUNSAFETYKIDS_W26,socioeco,inferred,high,,5,"[0.79326913, 0.17554633, 0.03118456]"
GUNSAFE_W26,socioeco,inferred,low,,5,"[0.57787457, 0.10041567, 0.32170978]"
GUNSAFE_W26,socioeco,inferred,high,,5,"[0.66745184, 0.09297389, 0.23957428]"
GUNTYPEOWNC_W26,socioeco,inferred,low,,5,"[0.26233301, 0.24418638, 0.4934806]"
GUNTYPEOWNC_W26,socioeco,inferred,high,,5,"[0.35884503, 0.24827796, 0.39287702]"
IMPREASONGUN_W26,socioeco,inferred,low,,5,"[0.00550096, 0.00931255, 0.01679658, 0.96374061, 0.00464928]"
IMPREASONGUN_W26,socioeco,inferred,high,,5,"[0.01631049, 0.02149143, 0.035391, 0.91145774, 0.01534928]"
NOCARRYGUN_W26,socioeco,inferred,low,,5,"[0.92428751, 0.0757125]"
NOCARRYGUN_W26,socioeco,inferred,high,,5,"[0.9415241, 0.05847593]"
REASONGUNA_W26,socioeco,inferred,low,,5,"[0.25366815, 0.15366314, 0.59266869]"
REASONGUNA_W26,socioeco,inferred,high,,5,"[0.34455176, 0.11338169, 0.54206657]"
REASONGUNB_W26,socioeco,inferred,low,,5,"[0.14807341, 0.04923098, 0.80269561]"
REASONGUNB_W26,socioeco,inferred,high,,5,"[0.1910509, 0.03676666, 0.77218245]"
REASONGUNC_W26,socioeco,inferred,low,,5,"[0.13788292, 0.04108001, 0.82103708]"
REASONGUNC_W26,socioeco,inferred,high,,5,"[0.17582064, 0.03336021, 0.79081915]"
REASONGUND_W26,socioeco,inferred,low,,5,"[0.18922622, 0.14611504, 0.66465875]"
REASONGUND_W26,socioeco,inferred,high,,5,"[0.21905983, 0.09982337, 0.68111684]"
REASONGUNE_W26,socioeco,inferred,low,,5,"[0.18830557, 0.18269883, 0.6289956]"
REASONGUNE_W26,socioeco,inferred,high,,5,"[0.22693185, 0.13893999, 0.63412816]"
SHOOTFREQ_W26,socioeco,inferred,low,,5,"[0.10153666, 0.03859647, 0.04173077, 0.81813611]"
SHOOTFREQ_W26,socioeco,inferred,high,,5,"[0.2194403, 0.05272847, 0.05453185, 0.67329938]"
WORRYB_W26,socioeco,inferred,low,,5,"[0.17534546, 0.16052832, 0.66412624]"
WORRYB_W26,socioeco,inferred,high,,5,"[0.1833514, 0.19765989, 0.61898868]"
WORRYD_W26,socioeco,inferred,low,,5,"[0.36381425, 0.10190751, 0.53427827]"
WORRYD_W26,socioeco,inferred,high,,5,"[0.30366443, 0.19732916, 0.49900641]"
WORRYE_W26,socioeco,inferred,low,,5,"[0.19249844, 0.18138748, 0.62611409]"
WORRYE_W26,socioeco,inferred,high,,5,"[0.14689487, 0.24894401, 0.60416112]"
WORRYF_W26,socioeco,inferred,low,,5,"[0.21667917, 0.25228805, 0.5310328]"
WORRYF_W26,socioeco,inferred,high,,5,"[0.21069463, 0.27544963, 0.51385573]"
BOYSF1B_W29,socioeco,inferred,low,,5,"[0.5698848, 0.03836132, 0.39175389]"
BOYSF1B_W29,socioeco,inferred,high,,5,"[0.66823439, 0.03660528, 0.29516032]"
FAVORS_CPS_W29,socioeco,inferred,low,,5,"[0.41044181, 0.01713287, 0.18576202, 0.35252191, 0.01406759, 0.02007379]"
FAVORS_CPS_W29,socioeco,inferred,high,,5,"[0.45899973, 0.0234497, 0.22796703, 0.25723901, 0.01219982, 0.02014476]"
FEM2_W29,socioeco,inferred,low,,5,"[0.03887354, 0.03069938, 0.17614713, 0.75427997]"
FEM2_W29,socioeco,inferred,high,,5,"[0.03079986, 0.02760893, 0.14652044, 0.79507077]"
GIRLSF2C_W29,socioeco,inferred,low,,5,"[0.56206334, 0.04886583, 0.38907084]"
GIRLSF2C_W29,socioeco,inferred,high,,5,"[0.6757686, 0.03845805, 0.28577339]"
GIRLSF2D_W29,socioeco,inferred,low,,5,"[0.5084852, 0.0386807, 0.45283411]"
GIRLSF2D_W29,socioeco,inferred,high,,5,"[0.68925856, 0.03442055, 0.27632089]"
GOPDIRCT_W29,socioeco,inferred,low,,5,"[0.02320628, 0.00926503, 0.03245196, 0.93507673]"
GOPDIRCT_W29,socioeco,inferred,high,,5,"[0.17919851, 0.03153521, 0.05467283, 0.73459341]"
HOOD_NHISB_W29,socioeco,inferred,low,,5,"[0.11424231, 0.0219331, 0.25640084, 0.60742375]"
HOOD_NHISB_W29,socioeco,inferred,high,,5,"[0.18337962, 0.03455026, 0.34838084, 0.43368928]"
LOCALELECT_W29,socioeco,inferred,low,,5,"[0.55424427, 0.01092133, 0.07471531, 0.36011909]"
LOCALELECT_W29,socioeco,inferred,high,,5,"[0.67705703, 0.01510786, 0.10661353, 0.20122156]"
MAN1A_W29,socioeco,inferred,low,,5,"[0.11025491, 0.03925585, 0.23310318, 0.61738608]"
MAN1A_W29,socioeco,inferred,high,,5,"[0.25047985, 0.09070446, 0.38408992, 0.2747258]"
MAN1B_W29,socioeco,inferred,low,,5,"[0.13613221, 0.09366647, 0.27041827, 0.49978303]"
MAN1B_W29,socioeco,inferred,high,,5,"[0.13930143, 0.10027686, 0.25202827, 0.50839345]"
MAN1C_W29,socioeco,inferred,low,,5,"[0.0555353, 0.01869473, 0.19779228, 0.72797768]"
MAN1C_W29,socioeco,inferred,high,,5,"[0.06776791, 0.02541615, 0.21681526, 0.69000069]"
MAN1D_W29,socioeco,inferred,low,,5,"[0.08738565, 0.06172065, 0.15067621, 0.70021749]"
MAN1D_W29,socioeco,inferred,high,,5,"[0.1140963, 0.07880932, 0.17472099, 0.63237342]"
MAN1E_W29,socioeco,inferred,low,,5,"[0.14235515, 0.05164431, 0.43414744, 0.37185312]"
MAN1E_W29,socioeco,inferred,high,,5,"[0.22093987, 0.08466376, 0.53210664, 0.1622897]"
MASC2_W29,socioeco,inferred,low,,5,"[0.06417895, 0.03733483, 0.15257608, 0.74591014]"
MASC2_W29,socioeco,inferred,high,,5,"[0.05882008, 0.04204811, 0.14211675, 0.75701507]"
S12_W29,socioeco,inferred,low,,5,"[0.53920558, 0.0148099, 0.15028309, 0.26411571, 0.01470416, 0.01688156]"
S12_W29,socioeco,inferred,high,,5,"[0.56006915, 0.01993289, 0.18020595, 0.20724631, 0.01424434, 0.01830133]"
S13_W29,socioeco,inferred,low,,5,"[0.41205506, 0.0129379, 0.30106113, 0.22871852, 0.03784145, 0.00738597]"
S13_W29,socioeco,inferred,high,,5,"[0.46747605, 0.01469963, 0.28063848, 0.1868731, 0.04138185, 0.00893089]"
SEENFEM_W29,socioeco,inferred,low,,5,"[0.06327682, 0.04816813, 0.12717883, 0.76137619]"
SEENFEM_W29,socioeco,inferred,high,,5,"[0.05044515, 0.05774523, 0.10448849, 0.78732111]"
SEENMASC_W29,socioeco,inferred,low,,5,"[0.09378934, 0.04752963, 0.11636139, 0.74231964]"
SEENMASC_W29,socioeco,inferred,high,,5,"[0.07863742, 0.07641748, 0.1202835, 0.7246616]"
TALK_CPS_W29,socioeco,inferred,low,,5,"[0.46060816, 0.01749906, 0.14867359, 0.31787646, 0.03315604, 0.02218668]"
TALK_CPS_W29,socioeco,inferred,high,,5,"[0.42545139, 0.02450147, 0.20152465, 0.2873239, 0.03753416, 0.02366446]"
WORRYBILL_W29,socioeco,inferred,low,,5,"[0.45881669, 0.02549033, 0.19056403, 0.32512897]"
WORRYBILL_W29,socioeco,inferred,high,,5,"[0.5288167, 0.03937531, 0.22139799, 0.21040998]"
CLASS_W32,socioeco,inferred,low,,5,"[0.10125681, 0.05566698, 0.39005352, 0.42457074, 0.02845194]"
CLASS_W32,socioeco,inferred,high,,5,"[0.25215032, 0.06330634, 0.38281558, 0.27894877, 0.02277899]"
COMMIMPA_W32,socioeco,inferred,low,,5,"[0.55586097, 0.0036353, 0.14333881, 0.29716494]"
COMMIMPA_W32,socioeco,inferred,high,,5,"[0.57434992, 0.00544501, 0.18260545, 0.23759962]"
COMMIMPB_W32,socioeco,inferred,low,,5,"[0.70784938, 0.00477808, 0.10857295, 0.17879961]"
COMMIMPB_W32,socioeco,inferred,high,,5,"[0.7401466, 0.00714088, 0.12890645, 0.12380604]"
COMMIMPC_W32,socioeco,inferred,low,,5,"[0.7238499, 0.00563392, 0.03727149, 0.23324468]"
COMMIMPC_W32,socioeco,inferred,high,,5,"[0.77538676, 0.01166679, 0.05389204, 0.15905443]"
COMMIMPF_W32,socioeco,inferred,low,,5,"[0.55964381, 0.00596245, 0.20741609, 0.22697767]"
COMMIMPF_W32,socioeco,inferred,high,,5,"[0.54347646, 0.00876758, 0.26098932, 0.18676664]"
COMMIMPG_W32,socioeco,inferred,low,,5,"[0.5960753, 0.00521022, 0.1509591, 0.24775539]"
COMMIMPG_W32,socioeco,inferred,high,,5,"[0.57591562, 0.00775391, 0.20737706, 0.20895339]"
COMMIMPH_W32,socioeco,inferred,low,,5,"[0.22589192, 0.01133581, 0.04098644, 0.72178585]"
COMMIMPH_W32,socioeco,inferred,high,,5,"[0.10577427, 0.02871848, 0.04852617, 0.81698108]"
COMMYRS_W32,socioeco,inferred,low,,5,"[0.24116182, 0.04142199, 0.22280035, 0.48071367, 0.01390218]"
COMMYRS_W32,socioeco,inferred,high,,5,"[0.28179657, 0.03656599, 0.20585789, 0.46648604, 0.00929351]"
ETHNCMAJ_W32,socioeco,inferred,low,,5,"[0.08603436, 0.08272634, 0.83123934]"
ETHNCMAJ_W32,socioeco,inferred,high,,5,"[0.08969534, 0.10043491, 0.80986974]"
GAYMARR2_W32,socioeco,inferred,low,,5,"[0.10844749, 0.01309994, 0.08478718, 0.79366539]"
GAYMARR2_W32,socioeco,inferred,high,,5,"[0.17606569, 0.01885301, 0.10597837, 0.69910295]"
HARASS2F1_W32,socioeco,inferred,low,,5,"[0.15607548, 0.08254856, 0.76137596]"
HARASS2F1_W32,socioeco,inferred,high,,5,"[0.1943364, 0.13302359, 0.67264004]"
IMMIMPACT_W32,socioeco,inferred,low,,5,"[0.13349804, 0.15831124, 0.70819072]"
IMMIMPACT_W32,socioeco,inferred,high,,5,"[0.13046622, 0.17441308, 0.69512069]"
MOVERURAL_W32,socioeco,inferred,low,,5,"[0.67250654, 0.02674694, 0.30074659]"
MOVERURAL_W32,socioeco,inferred,high,,5,"[0.73507031, 0.02867601, 0.23625364]"
MOVESUBURB_W32,socioeco,inferred,low,,5,"[0.65054733, 0.02850678, 0.3209459]"
MOVESUBURB_W32,socioeco,inferred,high,,5,"[0.73963301, 0.03347566, 0.22689132]"
MOVEURBAN_W32,socioeco,inferred,low,,5,"[0.62647667, 0.02757214, 0.3459512]"
MOVEURBAN_W32,socioeco,inferred,high,,5,"[0.72471197, 0.03268092, 0.24260712]"
NEIGHINTERA_W32,socioeco,inferred,low,,5,"[0.37729938, 0.01111226, 0.22324793, 0.33361964, 0.018864, 0.03585679]"
NEIGHINTERA_W32,socioeco,inferred,high,,5,"[0.42114677, 0.01649587, 0.29810942, 0.21320832, 0.01635318, 0.03468641]"
NEIGHINTERB_W32,socioeco,inferred,low,,5,"[0.34852502, 0.00760548, 0.30781404, 0.29042536, 0.02116743, 0.0244627]"
NEIGHINTERB_W32,socioeco,inferred,high,,5,"[0.4030581, 0.01117272, 0.37064579, 0.17254865, 0.01849007, 0.02408466]"
NEIGHKIDS_W32,socioeco,inferred,low,,5,"[0.74512486, 0.21151091, 0.04336423]"
NEIGHKIDS_W32,socioeco,inferred,high,,5,"[0.78785691, 0.17948239, 0.03266069]"
NEIGHSAMEA_W32,socioeco,inferred,low,,5,"[0.03104063, 0.01676951, 0.14184094, 0.79848459, 0.0118643]"
NEIGHSAMEA_W32,socioeco,inferred,high,,5,"[0.02692756, 0.01659729, 0.11165015, 0.83160321, 0.0132218]"
SATLIFED_W32,socioeco,inferred,low,,5,"[0.50802524, 0.01119822, 0.2674878, 0.21328872]"
SATLIFED_W32,socioeco,inferred,high,,5,"[0.56892517, 0.01384106, 0.27405009, 0.14318369]"
SOCTRUST2_W32,socioeco,inferred,low,,5,"[0.37266639, 0.62733362]"
SOCTRUST2_W32,socioeco,inferred,high,,5,"[0.39574209, 0.60425792]"
VALUERURAL_W32,socioeco,inferred,low,,5,"[0.24865462, 0.055797, 0.48259995, 0.21294843]"
VALUERURAL_W32,socioeco,inferred,high,,5,"[0.38996316, 0.08726333, 0.3906676, 0.13210589]"
WHADVANT_W32,socioeco,inferred,low,,5,"[0.0965488, 0.0650345, 0.49253045, 0.34588626]"
WHADVANT_W32,socioeco,inferred,high,,5,"[0.10724861, 0.07107747, 0.47167881, 0.34999511]"
WILLMOVE_W32,socioeco,inferred,low,,5,"[0.67868133, 0.009254, 0.08924436, 0.2228203]"
WILLMOVE_W32,socioeco,inferred,high,,5,"[0.76564951, 0.00987152, 0.14052912, 0.08394984]"
EAT1_W34,socioeco,inferred,low,,5,"[0.4544913, 0.01342527, 0.23417507, 0.28334056, 0.01456781]"
EAT1_W34,socioeco,inferred,high,,5,"[0.5408429, 0.01669498, 0.25711592, 0.17822954, 0.00711666]"
EAT2_W34,socioeco,inferred,low,,5,"[0.47548572, 0.0126463, 0.24634985, 0.25188912, 0.013629]"
EAT2_W34,socioeco,inferred,high,,5,"[0.49859653, 0.01536931, 0.29147081, 0.18488061, 0.0096827]"
EAT5B_W34,socioeco,inferred,low,,5,"[0.31898696, 0.0543023, 0.45101679, 0.17569397]"
EAT5B_W34,socioeco,inferred,high,,5,"[0.21837763, 0.08365689, 0.51485856, 0.18310695]"
EAT5C_W34,socioeco,inferred,low,,5,"[0.25122365, 0.06402164, 0.5738653, 0.11088937]"
EAT5C_W34,socioeco,inferred,high,,5,"[0.22046102, 0.10070229, 0.5689849, 0.10985179]"
EAT5D_W34,socioeco,inferred,low,,5,"[0.24026796, 0.06534824, 0.56020081, 0.134183]"
EAT5D_W34,socioeco,inferred,high,,5,"[0.19442018, 0.10652168, 0.55344862, 0.14560952]"
EVOBIOA_W34,socioeco,inferred,low,,5,"[0.68831438, 0.03658947, 0.27509617]"
EVOBIOA_W34,socioeco,inferred,high,,5,"[0.68133899, 0.04963911, 0.2690219]"
EVOBIOB_W34,socioeco,inferred,low,,5,"[0.96899134, 0.03100868]"
EVOBIOB_W34,socioeco,inferred,high,,5,"[0.9595913, 0.0404087]"
EVOPERS3_W34,socioeco,inferred,low,,5,"[0.76038792, 0.03975313, 0.19985893]"
EVOPERS3_W34,socioeco,inferred,high,,5,"[0.81300821, 0.03456663, 0.15242517]"
EVOTHREE_W34,socioeco,inferred,low,,5,"[0.91623646, 0.08376354]"
EVOTHREE_W34,socioeco,inferred,high,,5,"[0.90677441, 0.0932256]"
FUD22_W34,socioeco,inferred,low,,5,"[0.65876326, 0.03730754, 0.11513296, 0.18879625]"
FUD22_W34,socioeco,inferred,high,,5,"[0.75020218, 0.04975445, 0.09529654, 0.10474683]"
FUD24_W34,socioeco,inferred,low,,5,"[0.47759674, 0.02474032, 0.49766294]"
FUD24_W34,socioeco,inferred,high,,5,"[0.43794774, 0.06567922, 0.49637305]"
FUD33B_W34,socioeco,inferred,low,,5,"[0.29509122, 0.03133076, 0.67357801]"
FUD33B_W34,socioeco,inferred,high,,5,"[0.32890479, 0.03167305, 0.63942218]"
FUD35_W34,socioeco,inferred,low,,5,"[0.44890008, 0.01539212, 0.15406887, 0.38163892]"
FUD35_W34,socioeco,inferred,high,,5,"[0.60132135, 0.01365187, 0.20419416, 0.18083261]"
FUD37A_W34,socioeco,inferred,low,,5,"[0.79182911, 0.01655323, 0.06972282, 0.12189486]"
FUD37A_W34,socioeco,inferred,high,,5,"[0.88160378, 0.02406034, 0.05504817, 0.03928771]"
FUD37B_W34,socioeco,inferred,low,,5,"[0.4783173, 0.03169586, 0.27848588, 0.211501]"
FUD37B_W34,socioeco,inferred,high,,5,"[0.45799168, 0.04975222, 0.34478632, 0.14746976]"
FUD37C_W34,socioeco,inferred,low,,5,"[0.76456311, 0.02147884, 0.1144641, 0.09949394]"
FUD37C_W34,socioeco,inferred,high,,5,"[0.77626592, 0.03675996, 0.12794428, 0.05902982]"
BETTERBIZ1F2D_W36,socioeco,inferred,low,,5,"[0.28688312, 0.11919693, 0.59391998]"
BETTERBIZ1F2D_W36,socioeco,inferred,high,,5,"[0.45846354, 0.09650843, 0.44502804]"
BETTERBIZ1F2E_W36,socioeco,inferred,low,,5,"[0.32202472, 0.18863249, 0.48934278]"
BETTERBIZ1F2E_W36,socioeco,inferred,high,,5,"[0.39273784, 0.17504514, 0.432217]"
BETTERBIZ1F2H_W36,socioeco,inferred,low,,5,"[0.3203081, 0.12558557, 0.55410633]"
BETTERBIZ1F2H_W36,socioeco,inferred,high,,5,"[0.46987786, 0.10186272, 0.42825942]"
BETTERBIZ2F2C_W36,socioeco,inferred,low,,5,"[0.15620603, 0.10273388, 0.74106007]"
BETTERBIZ2F2C_W36,socioeco,inferred,high,,5,"[0.18328709, 0.12398411, 0.69272883]"
BETTERBIZ2F2E_W36,socioeco,inferred,low,,5,"[0.1440341, 0.12021723, 0.73574867]"
BETTERBIZ2F2E_W36,socioeco,inferred,high,,5,"[0.1609647, 0.14863204, 0.69040327]"
BETTERBIZ2F2F_W36,socioeco,inferred,low,,5,"[0.18833472, 0.12522593, 0.68643936]"
BETTERBIZ2F2F_W36,socioeco,inferred,high,,5,"[0.2215476, 0.1519502, 0.62650219]"
BETTERPOL1F1B_W36,socioeco,inferred,low,,5,"[0.19691922, 0.14769581, 0.65538498]"
BETTERPOL1F1B_W36,socioeco,inferred,high,,5,"[0.22162511, 0.14552979, 0.63284509]"
BETTERPOL1F1E_W36,socioeco,inferred,low,,5,"[0.25314986, 0.18346846, 0.56338169]"
BETTERPOL1F1E_W36,socioeco,inferred,high,,5,"[0.27627877, 0.18642344, 0.53729779]"
BETTERPOL1F1I_W36,socioeco,inferred,low,,5,"[0.30755594, 0.19085178, 0.50159227]"
BETTERPOL1F1I_W36,socioeco,inferred,high,,5,"[0.32496824, 0.2318078, 0.44322398]"
BETTERPOL2F1A_W36,socioeco,inferred,low,,5,"[0.19229207, 0.08555726, 0.72215064]"
BETTERPOL2F1A_W36,socioeco,inferred,high,,5,"[0.23632076, 0.0921807, 0.67149854]"
BETTERPOL2F1C_W36,socioeco,inferred,low,,5,"[0.13645523, 0.10946675, 0.75407804]"
BETTERPOL2F1C_W36,socioeco,inferred,high,,5,"[0.17767491, 0.13582183, 0.68650328]"
BETTERPOL2F1D_W36,socioeco,inferred,low,,5,"[0.19637467, 0.13324051, 0.67038483]"
BETTERPOL2F1D_W36,socioeco,inferred,high,,5,"[0.22303771, 0.13538898, 0.6415733]"
BETTERPOL2F1F_W36,socioeco,inferred,low,,5,"[0.08876917, 0.06361683, 0.84761403]"
BETTERPOL2F1F_W36,socioeco,inferred,high,,5,"[0.12145927, 0.09082691, 0.78771378]"
E5_W36,socioeco,inferred,low,,5,"[0.64181745, 0.00864119, 0.3495414]"
E5_W36,socioeco,inferred,high,,5,"[0.77767218, 0.00616168, 0.21616615]"
ESSENBIZF2E_W36,socioeco,inferred,low,,5,"[0.54021545, 0.01578442, 0.44400014]"
ESSENBIZF2E_W36,socioeco,inferred,high,,5,"[0.39774654, 0.02215805, 0.5800954]"
ESSENBIZF2J_W36,socioeco,inferred,low,,5,"[0.54258271, 0.01127165, 0.44614564]"
ESSENBIZF2J_W36,socioeco,inferred,high,,5,"[0.38827293, 0.01294804, 0.59877907]"
ESSENPOLF1A_W36,socioeco,inferred,low,,5,"[0.78399761, 0.00807682, 0.20792558]"
ESSENPOLF1A_W36,socioeco,inferred,high,,5,"[0.68509444, 0.01131278, 0.30359278]"
ESSENPOLF1B_W36,socioeco,inferred,low,,5,"[0.74825256, 0.00826187, 0.24348556]"
ESSENPOLF1B_W36,socioeco,inferred,high,,5,"[0.65000295, 0.01253762, 0.33745943]"
ESSENPOLF1D_W36,socioeco,inferred,low,,5,"[0.78749253, 0.00999619, 0.20251127]"
ESSENPOLF1D_W36,socioeco,inferred,high,,5,"[0.71585504, 0.01384003, 0.27030491]"
ESSENPOLF1G_W36,socioeco,inferred,low,,5,"[0.75697684, 0.01167943, 0.23134374]"
ESSENPOLF1G_W36,socioeco,inferred,high,,5,"[0.72300676, 0.01649466, 0.26049859]"
ESSENPOLF1H_W36,socioeco,inferred,low,,5,"[0.76389523, 0.01037566, 0.22572912]"
ESSENPOLF1H_W36,socioeco,inferred,high,,5,"[0.61793148, 0.01482171, 0.3672468]"
HIGHEDWRNGB_W36,socioeco,inferred,low,,5,"[0.31324901, 0.02331807, 0.66343292]"
HIGHEDWRNGB_W36,socioeco,inferred,high,,5,"[0.34737789, 0.02909423, 0.62352787]"
HIGHEDWRNGC_W36,socioeco,inferred,low,,5,"[0.21398506, 0.03016972, 0.75584524]"
HIGHEDWRNGC_W36,socioeco,inferred,high,,5,"[0.23867765, 0.03840054, 0.72292184]"
IMPROVE1_W36,socioeco,inferred,low,,5,"[0.75895757, 0.03907923, 0.11421302, 0.08775016]"
IMPROVE1_W36,socioeco,inferred,high,,5,"[0.68220469, 0.06746867, 0.18885484, 0.06147178]"
