qkey,split,seed,tuning_fraction
GOVPRIOhF1_W41,tuning,42,0.5
GOVPRIOiF1_W41,evaluation,42,0.5
GOVPRIOjF1_W41,tuning,42,0.5
GOVPRIOkF2_W41,evaluation,42,0.5
GOVPRIOlF2_W41,tuning,42,0.5
GOVPRIOmF2_W41,tuning,42,0.5
GOVPRIOnF2_W41,tuning,42,0.5
GOVPRIOoF2_W41,evaluation,42,0.5
GOVREGV1_W49,evaluation,42,0.5
GROWUPGUN2A_W26,evaluation,42,0.5
GROWUPGUN2B_W26,evaluation,42,0.5
GROWUPGUN2C_W26,evaluation,42,0.5
GROWUPGUN4_W26,tuning,42,0.5
GROWUPGUN6_W26,tuning,42,0.5
GROWUPGUN7_W26,evaluation,42,0.5
GROWUPVIOL_W26,tuning,42,0.5
GUNACCESS_W26,evaluation,42,0.5
GUNACTIVITYA_W26,evaluation,42,0.5
GUNACTIVITYB_W26,evaluation,42,0.5
GUNCONTRIBA_W26,tuning,42,0.5
GUNCONTRIBC_W26,evaluation,42,0.5
GUNCONTRIBE_W26,tuning,42,0.5
GUNCONTRIBF_W26,evaluation,42,0.5
GUNFRIEND_W26,evaluation,42,0.5
GUNIDENTITY_W26,tuning,42,0.5
GUNLOADED1_W26,evaluation,42,0.5
GUNLOADED2_W26,evaluation,42,0.5
GUNLOCKED1_W26,tuning,42,0.5
GUNLOCKED2_W26,tuning,42,0.5
GUNRESPKIDSD_W26,evaluation,42,0.5
GUNRESPKIDSE_W26,tuning,42,0.5
GUNRESPNOKIDSA_W26,evaluation,42,0.5
GUNRESPNOKIDSB_W26,tuning,42,0.5
GUNRESPNOKIDSC_W26,tuning,42,0.5
GUNRESPNOKIDSD_W26,tuning,42,0.5
GUNRESPNOKIDSE_W26,evaluation,42,0.5
GUNRESPNOKIDSF_W26,tuning,42,0.5
GUNSAFETYKIDS_W26,tuning,42,0.5
GUNSAFE_W26,tuning,42,0.5
GUNTYPEOWNC_W26,evaluation,42,0.5
HAPPEN2b_W41,evaluation,42,0.5
HAPPEN2f_W41,tuning,42,0.5
HARASS1F1b_W41,evaluation,42,0.5
HARASS1F1d_W41,evaluation,42,0.5
HARASS1NOWRKF2d_W41,tuning,42,0.5
HARASS2F1_W32,tuning,42,0.5
HARASS3NOWRKF2_W41,tuning,42,0.5
HAVEKIDS1_W50,tuning,42,0.5
HIGHEDWRNGB_W36,tuning,42,0.5
HIGHEDWRNGC_W36,tuning,42,0.5
HOMEASSIST2_W49,evaluation,42,0.5
HOMEASSIST3_W49,tuning,42,0.5
HOMEASSIST4_W49,evaluation,42,0.5
HOOD_NHISB_W29,evaluation,42,0.5
IDIMPORT_W43,tuning,42,0.5
IMMIMPACT_W32,tuning,42,0.5
IMPROVE1_W36,tuning,42,0.5
IMPROVE2_W36,evaluation,42,0.5
IMPROVE3_W36,tuning,42,0.5
INEQ11_W54,evaluation,42,0.5
INEQ1_W54,tuning,42,0.5
INEQ4_a_W54,tuning,42,0.5
INEQ5_a_W54,tuning,42,0.5
INEQ5_d_W54,tuning,42,0.5
INEQ5_e_W54,tuning,42,0.5
INEQ5_f_W54,evaluation,42,0.5
INEQ5_h_W54,tuning,42,0.5
INEQ5_i_W54,tuning,42,0.5
INEQ5_k_W54,evaluation,42,0.5
INEQ5_l_W54,evaluation,42,0.5
INEQ5_m_W54,evaluation,42,0.5
INEQ8_a_W54,tuning,42,0.5
INEQ8_b_W54,evaluation,42,0.5
INEQ8_c_W54,tuning,42,0.5
INEQ8_d_W54,evaluation,42,0.5
INEQ8_f_W54,tuning,42,0.5
INEQ8_g_W54,evaluation,42,0.5
INEQ8_h_W54,evaluation,42,0.5
INEQ8_i_W54,evaluation,42,0.5
INEQ8_j_W54,evaluation,42,0.5
INFOCHALa_W45,evaluation,42,0.5
INFOCREATEa_W45,evaluation,42,0.5
INTRMAR_W41,tuning,42,0.5
JOBTRAIN_W54,tuning,42,0.5
LEGALIMG_W41,tuning,42,0.5
LEGALIMMIGAMT_W92,tuning,42,0.5
LOCALELECT_W29,tuning,42,0.5
MADEUPOFT_W45,tuning,42,0.5
MADEUPTOPICb_W45,evaluation,42,0.5
MADEUPTOPICc_W45,evaluation,42,0.5
MADEUPTOPICd_W45,evaluation,42,0.5
MAN1A_W29,tuning,42,0.5
MAN1B_W29,evaluation,42,0.5
MAN1C_W29,tuning,42,0.5
MAN1D_W29,tuning,42,0.5
MAN1E_W29,evaluation,42,0.5
MARRDUR_W50,tuning,42,0.5
MARRYPREF1_W50,tuning,42,0.5
MARRYPREF2_W50,evaluation,42,0.5
MASC2_W29,evaluation,42,0.5
MOREWMN1F2_W36,evaluation,42,0.5
MOTHER_W50,tuning,42,0.5
MOVERURAL_W32,evaluation,42,0.5
MOVESUBURB_W32,evaluation,42,0.5
MOVEURBAN_W32,evaluation,42,0.5
NEIGHINTERA_W32,evaluation,42,0.5
NEIGHINTERB_W32,tuning,42,0.5
NEIGHKIDS_W32,tuning,42,0.5
NEIGHSAMEA_W32,tuning,42,0.5
NEWSPROBd_W45,tuning,42,0.5
NEWSPROBe_W45,evaluation,42,0.5
NEWS_PLATFORMg_W45,evaluation,42,0.5
NOCARRYGUN_W26,tuning,42,0.5
PAR1_W50,evaluation,42,0.5
PAR2_W50,tuning,42,0.5
POLCHF1_W36,evaluation,42,0.5
POLINTOL2_a_W92,evaluation,42,0.5
PP5e_W49,tuning,42,0.5
PQ4_F2Aa_W42,evaluation,42,0.5
PQ4_F2Ac_W42,evaluation,42,0.5
PQ4_F2Ae_W42,tuning,42,0.5
PQ4_F2Bb_W42,tuning,42,0.5
PQ4_F2Bc_W42,evaluation,42,0.5
PQ4_F2Bd_W42,tuning,42,0.5
PQ4_F2Cc_W42,tuning,42,0.5
PQ8_F2B_W42,evaluation,42,0.5
PROG_RNEED_W92,tuning,42,0.5
PWMAN2_W49,evaluation,42,0.5
RACESURV13_W43,evaluation,42,0.5
RACESURV14_W43,evaluation,42,0.5
RACESURV15a_W43,tuning,42,0.5
RACESURV15b_W43,evaluation,42,0.5
RACESURV17_W43,tuning,42,0.5
RACESURV18b_W43,tuning,42,0.5
RACESURV18f_W43,evaluation,42,0.5
RACESURV19a_W43,evaluation,42,0.5
RACESURV19c_W43,tuning,42,0.5
RACESURV19e_W43,tuning,42,0.5
RACESURV1b_W43,tuning,42,0.5
RACESURV21_W43,tuning,42,0.5
RACESURV27_W43,evaluation,42,0.5
RACESURV28a_W43,evaluation,42,0.5
RACESURV28b_W43,tuning,42,0.5
RACESURV28c_W43,tuning,42,0.5
RACESURV28d_W43,evaluation,42,0.5
RACESURV28e_W43,tuning,42,0.5
RACESURV28f_W43,evaluation,42,0.5
RACESURV28g_W43,tuning,42,0.5
RACESURV29d_W43,tuning,42,0.5
RACESURV2_W43,evaluation,42,0.5
RACESURV34a_W43,tuning,42,0.5
RACESURV34b_W43,evaluation,42,0.5
RACESURV34c_W43,tuning,42,0.5
RACESURV34d_W43,tuning,42,0.5
RACESURV34e_W43,tuning,42,0.5
RACESURV38_W43,evaluation,42,0.5
RACESURV40_W43,tuning,42,0.5
RACESURV41_W43,tuning,42,0.5
RACESURV45_W43,evaluation,42,0.5
RACESURV47a_W43,tuning,42,0.5
RACESURV47b_W43,tuning,42,0.5
RACESURV47d_W43,evaluation,42,0.5
RACESURV47e_W43,tuning,42,0.5
RACESURV47f_W43,tuning,42,0.5
RACESURV48_W43,evaluation,42,0.5
RACESURV51_W43,tuning,42,0.5
RACESURV52MOD_W92,evaluation,42,0.5
RACESURV52_W43,tuning,42,0.5
RACESURV5a_W43,evaluation,42,0.5
RACESURV5b_W43,tuning,42,0.5
RACESURV5d_W43,tuning,42,0.5
RACESURV5e_W43,evaluation,42,0.5
RACESURV5f_W43,evaluation,42,0.5
RACESURV5g_W43,tuning,42,0.5
RACESURV5h_W43,evaluation,42,0.5
RACESURV5i_W43,tuning,42,0.5
RACESURV5j_W43,evaluation,42,0.5
RACESURV5l_W43,tuning,42,0.5
RACESURV9_W43,evaluation,42,0.5
REASONGUNA_W26,tuning,42,0.5
REASONGUNB_W26,tuning,42,0.5
REASONGUNC_W26,tuning,42,0.5
REASONGUND_W26,tuning,42,0.5
REASONGUNE_W26,evaluation,42,0.5
REPRSNTDEM_W92,evaluation,42,0.5
REPRSNTREP_W92,evaluation,42,0.5
ROMRELDUR_W50,tuning,42,0.5
ROMRELSER_W50,tuning,42,0.5
RQ1_F1B_W42,tuning,42,0.5
RQ1_F1C_W42,evaluation,42,0.5
RQ2_F1A_W42,tuning,42,0.5
RQ4_F1Ab_W42,evaluation,42,0.5
RQ4_F1Ae_W42,evaluation,42,0.5
RQ4_F1Ba_W42,evaluation,42,0.5
RQ4_F1Bc_W42,evaluation,42,0.5
RQ4_F1Bd_W42,tuning,42,0.5
RQ4_F1Be_W42,tuning,42,0.5
RQ4_F1Ca_W42,tuning,42,0.5
RQ4_F1Cb_W42,evaluation,42,0.5
RQ4_F1Cd_W42,evaluation,42,0.5
RQ5_F1B_W42,evaluation,42,0.5
RQ5_F1C_W42,evaluation,42,0.5
S12_W29,tuning,42,0.5
S13_W29,evaluation,42,0.5
SATLIFED_W32,tuning,42,0.5
SATLIFEc_W50,tuning,42,0.5
SEENFEM_W29,tuning,42,0.5
SEENMASC_W29,evaluation,42,0.5
SHOOTFREQ_W26,tuning,42,0.5
SMARTAPP_W49,tuning,42,0.5
SMLIKESb_W45,tuning,42,0.5
SMLIKESf_W45,tuning,42,0.5
SOCIETY_GUNS_W92,evaluation,42,0.5
SOCIETY_RELG_W92,evaluation,42,0.5
SOCIETY_RHIST_W92,evaluation,42,0.5
SOCIETY_SSM_W92,tuning,42,0.5
SOCIETY_TRANS_W92,tuning,42,0.5
SOCIETY_WHT_W92,evaluation,42,0.5
SOCTRUST2_W32,tuning,42,0.5
SOLVPROBa_W41,tuning,42,0.5
SOLVPROBb_W41,evaluation,42,0.5
SOLVPROBc_W41,evaluation,42,0.5
SOLVPROBdF1_W41,evaluation,42,0.5
SOLVPROBf_W41,tuning,42,0.5
SOLVPROBg_W41,tuning,42,0.5
SOLVPROBh_W41,tuning,42,0.5
TALK_CPS_W29,evaluation,42,0.5
TRACKCO1a_W49,tuning,42,0.5
TRACKCO1b_W49,tuning,42,0.5
TRACKGOV1a_W49,tuning,42,0.5
TRACKGOV1b_W49,evaluation,42,0.5
TRAITBIZMF2C_W36,evaluation,42,0.5
TRAITBIZMF2D_W36,evaluation,42,0.5
TRAITBIZMF2E_W36,evaluation,42,0.5
TRAITBIZMF2G_W36,evaluation,42,0.5
TRAITBIZWF2C_W36,evaluation,42,0.5
TRAITBIZWF2D_W36,tuning,42,0.5
TRAITBIZWF2E_W36,tuning,42,0.5
TRAITBIZWF2G_W36,tuning,42,0.5
TRAITPOLMF1B_W36,evaluation,42,0.5
TRAITPOLMF1C_W36,evaluation,42,0.5
TRAITPOLMF1D_W36,evaluation,42,0.5
TRAITPOLMF1E_W36,evaluation,42,0.5
TRAITPOLMF1F_W36,tuning,42,0.5
TRAITPOLMF1G_W36,tuning,42,0.5
TRAITPOLWF1A_W36,evaluation,42,0.5
TRAITPOLWF1C_W36,evaluation,42,0.5
TRAITPOLWF1D_W36,evaluation,42,0.5
TRAITPOLWF1E_W36,evaluation,42,0.5
TRAITPOLWF1F_W36,evaluation,42,0.5
TRAITPOLWF1G_W36,tuning,42,0.5
UNIMMIGCOMM_W92,evaluation,42,0.5
USEXCEPT_W92,evaluation,42,0.5
USMILSIZ_W92,evaluation,42,0.5
VALUERURAL_W32,tuning,42,0.5
WHADVANT_W32,tuning,42,0.5
WHADVANT_W92,tuning,42,0.5
WHYNOTBIZF2A_W36,evaluation,42,0.5
WHYNOTBIZF2B_W36,tuning,42,0.5
WHYNOTBIZF2D_W36,tuning,42,0.5
WHYNOTBIZF2F_W36,tuning,42,0.5
WHYNOTBIZF2G_W36,tuning,42,0.5
WHYNOTBIZF2H_W36,tuning,42,0.5
WHYNOTBIZF2J_W36,evaluation,42,0.5
WHYNOTBIZF2M_W36,tuning,42,0.5
WHYNOTBIZF2N_W36,tuning,42,0.5
WHYNOTBIZF2O_W36,evaluation,42,0.5
WHYNOTPOLF1A_W36,tuning,42,0.5
WHYNOTPOLF1B_W36,tuning,42,0.5
WHYNOTPOLF1C_W36,evaluation,42,0.5
WHYNOTPOLF1E_W36,evaluation,42,0.5
WHYNOTPOLF1G_W36,evaluation,42,0.5
WHYNOTPOLF1I_W36,tuning,42,0.5
WHYNOTPOLF1J_W36,tuning,42,0.5
WHYNOTPOLF1K_W36,evaluation,42,0.5
WHYNOTPOLF1L_W36,tuning,42,0.5
WILLMOVE_W32,evaluation,42,0.5
WMNPRZ1_W36,tuning,42,0.5
WORRY2a_W54,tuning,42,0.5
WORRY2b_W54,tuning,42,0.5
WORRY2c_W54,evaluation,42,0.5
WORRY2d_W54,tuning,42,0.5
WORRY2e_W54,tuning,42,0.5
WORRYBILL_W29,tuning,42,0.5
WORRYB_W26,tuning,42,0.5
WORRYD_W26,tuning,42,0.5
WORRYE_W26,evaluation,42,0.5
WORRYF_W26,evaluation,42,0.5
