model,attribute,group_a,group_b,channel,magnitude,regime,n_questions,n_predictions,strict_accuracy,log_odds_slope_per_gap_sd,odds_ratio_per_gap_sd,slope_ci95_low,slope_ci95_high,cluster_robust_p_slope_le_zero,display_regime,selected_magnitude
llama,gender,Male,Female,steered,20.0,Steered N=20,242,484,0.5867768595041323,-0.02264073438526058,0.9776136436563302,-0.1253337901767608,0.08005232140623965,0.6671733112276516,Steered,20.0
llama,age,30-49,65+,steered,20.0,Steered N=20,241,482,0.5124481327800829,0.0044857421986683665,1.0044958182006871,-0.08049308829071657,0.08946457268805329,0.4587982705787032,Steered,20.0
llama,education,Less than high school,High school graduate,steered,20.0,Steered N=20,243,486,0.3497942386831276,-0.03989776147972651,0.9608876738644768,-0.20945984168661577,0.12966431872716275,0.6776673222087283,Steered,20.0
llama,education,Less than high school,College graduate/some postgrad,steered,20.0,Steered N=20,243,486,0.3991769547325103,0.06475025045254905,1.0668925351799587,-0.08084058390075187,0.21034108480584995,0.19168797803280196,Steered,20.0
llama,education,High school graduate,College graduate/some postgrad,steered,20.0,Steered N=20,243,486,0.2674897119341564,0.034848900878667405,1.0354632393930816,-0.16828169128687817,0.23797949304421298,0.3683389778242018,Steered,20.0
llama,socioeco,"Less than $30,000","$100,000 or more",steered,20.0,Steered N=20,243,486,0.43004115226337447,0.08374176771634866,1.0873480691763664,-0.12252203385066983,0.2900055692833671,0.21308946201788154,Steered,20.0
mistral,gender,Male,Female,declared,,Declared,242,484,0.506198347107438,0.10564536993175584,1.1114276609430676,-0.01634354386404685,0.22763428372755853,0.04480980121712845,Declared,2.0
mistral,age,30-49,65+,declared,,Declared,241,482,0.5,0.07624249928646196,1.0792242535388854,-0.055373625003845794,0.2078586235767697,0.1281065032850658,Declared,2.0
mistral,education,Less than high school,High school graduate,declared,,Declared,243,486,0.2222222222222222,0.24161164722516595,1.2732996073498823,0.07085638962595092,0.412366904824381,0.0027743834968920263,Declared,2.0
mistral,education,Less than high school,College graduate/some postgrad,declared,,Declared,243,486,0.4279835390946502,0.18249123610633394,1.2002036324504737,0.06777099620789585,0.29721147600477205,0.000910814907270232,Declared,2.0
mistral,education,High school graduate,College graduate/some postgrad,declared,,Declared,243,486,0.35390946502057613,0.1518712965664546,1.164010414653982,0.018433560378532887,0.2853090327543763,0.012848471498037643,Declared,2.0
mistral,socioeco,"Less than $30,000","$100,000 or more",declared,,Declared,243,486,0.5390946502057613,0.19104319217906948,1.2105117355918213,0.05812530402419852,0.32396108033394044,0.002422876738902254,Declared,2.0
mistral,gender,Male,Female,steered,2.0,Steered N=2,242,484,0.4462809917355372,-0.007258451839118295,0.9927678271025148,-0.1248914055177649,0.11037450183952832,0.5481308421972162,Steered,2.0
mistral,age,30-49,65+,steered,2.0,Steered N=2,241,482,0.5124481327800829,0.04084139985289229,1.0416868807509603,-0.05394966411215155,0.13563246381793614,0.19920065859919833,Steered,2.0
mistral,education,Less than high school,High school graduate,steered,2.0,Steered N=2,243,486,0.36213991769547327,0.20984102515267014,1.2334819517640554,0.005875950984820161,0.41380609932052015,0.021875693409974906,Steered,2.0
mistral,education,Less than high school,College graduate/some postgrad,steered,2.0,Steered N=2,243,486,0.360082304526749,0.018405148502423883,1.018575567169526,-0.1273868512703886,0.16419714827523638,0.4022856686862788,Steered,2.0
mistral,education,High school graduate,College graduate/some postgrad,steered,2.0,Steered N=2,243,486,0.29835390946502055,0.14464385539555394,1.1556279263192812,-0.022435648761158417,0.31172335955226627,0.04486641651299068,Steered,2.0
mistral,socioeco,"Less than $30,000","$100,000 or more",steered,2.0,Steered N=2,243,486,0.5082304526748971,0.03582614144795095,1.036475630672964,-0.12816646347109237,0.1998187463669943,0.3342580766979945,Steered,2.0
