attribute,channel,magnitude,regime,model_class,own_human_group,predicted_human_group,count,row_fraction
age,steered,4.0,Steered N=4,adult,30-49,65+,241,0.5
age,steered,6.0,Steered N=6,adult,30-49,65+,238,0.49377593360995853
age,steered,8.0,Steered N=8,adult,30-49,65+,235,0.487551867219917
age,steered,10.0,Steered N=10,adult,30-49,65+,239,0.495850622406639
age,steered,12.0,Steered N=12,adult,30-49,65+,243,0.504149377593361
age,steered,14.0,Steered N=14,adult,30-49,65+,245,0.508298755186722
age,steered,16.0,Steered N=16,adult,30-49,65+,246,0.5103734439834025
age,steered,18.0,Steered N=18,adult,30-49,65+,245,0.508298755186722
age,steered,20.0,Steered N=20,adult,30-49,65+,240,0.4979253112033195
age,declared,,Declared,older_adult,65+,65+,251,0.520746887966805
age,steered,0.0,Neutral (N=0),older_adult,65+,65+,244,0.5062240663900415
age,steered,2.0,Steered N=2,older_adult,65+,65+,244,0.5062240663900415
age,steered,4.0,Steered N=4,older_adult,65+,65+,248,0.5145228215767634
age,steered,6.0,Steered N=6,older_adult,65+,65+,246,0.5103734439834025
age,steered,8.0,Steered N=8,older_adult,65+,65+,245,0.508298755186722
age,steered,10.0,Steered N=10,older_adult,65+,65+,244,0.5062240663900415
age,steered,12.0,Steered N=12,older_adult,65+,65+,242,0.5020746887966805
age,steered,14.0,Steered N=14,older_adult,65+,65+,243,0.504149377593361
age,steered,16.0,Steered N=16,older_adult,65+,65+,241,0.5
age,steered,18.0,Steered N=18,older_adult,65+,65+,240,0.4979253112033195
age,steered,20.0,Steered N=20,older_adult,65+,65+,235,0.487551867219917
education,declared,,Declared,some schooling,Less than high school,College graduate/some postgrad,255,0.5246913580246914
education,steered,0.0,Neutral (N=0),some schooling,Less than high school,College graduate/some postgrad,264,0.5432098765432098
education,steered,2.0,Steered N=2,some schooling,Less than high school,College graduate/some postgrad,262,0.5390946502057613
education,steered,4.0,Steered N=4,some schooling,Less than high school,College graduate/some postgrad,261,0.5370370370370371
education,steered,6.0,Steered N=6,some schooling,Less than high school,College graduate/some postgrad,259,0.5329218106995884
education,steered,8.0,Steered N=8,some schooling,Less than high school,College graduate/some postgrad,261,0.5370370370370371
education,steered,10.0,Steered N=10,some schooling,Less than high school,College graduate/some postgrad,258,0.5308641975308642
education,steered,12.0,Steered N=12,some schooling,Less than high school,College graduate/some postgrad,257,0.5288065843621399
education,steered,14.0,Steered N=14,some schooling,Less than high school,College graduate/some postgrad,256,0.5267489711934157
education,steered,16.0,Steered N=16,some schooling,Less than high school,College graduate/some postgrad,259,0.5329218106995884
education,steered,18.0,Steered N=18,some schooling,Less than high school,College graduate/some postgrad,254,0.522633744855967
education,steered,20.0,Steered N=20,some schooling,Less than high school,College graduate/some postgrad,239,0.49176954732510286
education,declared,,Declared,high school,High school graduate,College graduate/some postgrad,265,0.5452674897119342
education,steered,0.0,Neutral (N=0),high school,High school graduate,College graduate/some postgrad,264,0.5432098765432098
education,steered,2.0,Steered N=2,high school,High school graduate,College graduate/some postgrad,266,0.5473251028806584
education,steered,4.0,Steered N=4,high school,High school graduate,College graduate/some postgrad,261,0.5370370370370371
education,steered,6.0,Steered N=6,high school,High school graduate,College graduate/some postgrad,261,0.5370370370370371
education,steered,8.0,Steered N=8,high school,High school graduate,College graduate/some postgrad,263,0.5411522633744856
education,steered,10.0,Steered N=10,high school,High school graduate,College graduate/some postgrad,267,0.5493827160493827
education,steered,12.0,Steered N=12,high school,High school graduate,College graduate/some postgrad,262,0.5390946502057613
education,steered,14.0,Steered N=14,high school,High school graduate,College graduate/some postgrad,259,0.5329218106995884
education,steered,16.0,Steered N=16,high school,High school graduate,College graduate/some postgrad,261,0.5370370370370371
education,steered,18.0,Steered N=18,high school,High school graduate,College graduate/some postgrad,268,0.551440329218107
education,steered,20.0,Steered N=20,high school,High school graduate,College graduate/some postgrad,264,0.5432098765432098
education,declared,,Declared,college and more,College graduate/some postgrad,College graduate/some postgrad,272,0.5596707818930041
education,steered,0.0,Neutral (N=0),college and more,College graduate/some postgrad,College graduate/some postgrad,264,0.5432098765432098
education,steered,2.0,Steered N=2,college and more,College graduate/some postgrad,College graduate/some postgrad,263,0.5411522633744856
education,steered,4.0,Steered N=4,college and more,College graduate/some postgrad,College graduate/some postgrad,262,0.5390946502057613
education,steered,6.0,Steered N=6,college and more,College graduate/some postgrad,College graduate/some postgrad,264,0.5432098765432098
education,steered,8.0,Steered N=8,college and more,College graduate/some postgrad,College graduate/some postgrad,264,0.5432098765432098
education,steered,10.0,Steered N=10,college and more,College graduate/some postgrad,College graduate/some postgrad,265,0.5452674897119342
education,steered,12.0,Steered N=12,college and more,College graduate/some postgrad,College graduate/some postgrad,265,0.5452674897119342
education,steered,14.0,Steered N=14,college and more,College graduate/some postgrad,College graduate/some postgrad,261,0.5370370370370371
education,steered,16.0,Steered N=16,college and more,College graduate/some postgrad,College graduate/some postgrad,263,0.5411522633744856
education,steered,18.0,Steered N=18,college and more,College graduate/some postgrad,College graduate/some postgrad,262,0.5390946502057613
education,steered,20.0,Steered N=20,college and more,College graduate/some postgrad,College graduate/some postgrad,261,0.5370370370370371
socioeco,declared,,Declared,low,"Less than $30,000","Less than $30,000",240,0.49382716049382713
socioeco,steered,0.0,Neutral (N=0),low,"Less than $30,000","Less than $30,000",209,0.43004115226337447
socioeco,steered,2.0,Steered N=2,low,"Less than $30,000","Less than $30,000",210,0.43209876543209874
socioeco,steered,4.0,Steered N=4,low,"Less than $30,000","Less than $30,000",210,0.43209876543209874
socioeco,steered,6.0,Steered N=6,low,"Less than $30,000","Less than $30,000",210,0.43209876543209874
socioeco,steered,8.0,Steered N=8,low,"Less than $30,000","Less than $30,000",210,0.43209876543209874
socioeco,steered,10.0,Steered N=10,low,"Less than $30,000","Less than $30,000",211,0.43415637860082307
socioeco,steered,12.0,Steered N=12,low,"Less than $30,000","Less than $30,000",209,0.43004115226337447
socioeco,steered,14.0,Steered N=14,low,"Less than $30,000","Less than $30,000",208,0.4279835390946502
socioeco,steered,16.0,Steered N=16,low,"Less than $30,000","Less than $30,000",205,0.4218106995884774
socioeco,steered,18.0,Steered N=18,low,"Less than $30,000","Less than $30,000",210,0.43209876543209874
socioeco,steered,20.0,Steered N=20,low,"Less than $30,000","Less than $30,000",210,0.43209876543209874
socioeco,declared,,Declared,high,"$100,000 or more","Less than $30,000",207,0.42592592592592593
socioeco,steered,0.0,Neutral (N=0),high,"$100,000 or more","Less than $30,000",209,0.43004115226337447
socioeco,steered,2.0,Steered N=2,high,"$100,000 or more","Less than $30,000",211,0.43415637860082307
socioeco,steered,4.0,Steered N=4,high,"$100,000 or more","Less than $30,000",212,0.43621399176954734
socioeco,steered,6.0,Steered N=6,high,"$100,000 or more","Less than $30,000",212,0.43621399176954734
socioeco,steered,8.0,Steered N=8,high,"$100,000 or more","Less than $30,000",209,0.43004115226337447
socioeco,steered,10.0,Steered N=10,high,"$100,000 or more","Less than $30,000",208,0.4279835390946502
socioeco,steered,12.0,Steered N=12,high,"$100,000 or more","Less than $30,000",208,0.4279835390946502
socioeco,steered,14.0,Steered N=14,high,"$100,000 or more","Less than $30,000",208,0.4279835390946502
socioeco,steered,16.0,Steered N=16,high,"$100,000 or more","Less than $30,000",205,0.4218106995884774
socioeco,steered,18.0,Steered N=18,high,"$100,000 or more","Less than $30,000",205,0.4218106995884774
socioeco,steered,20.0,Steered N=20,high,"$100,000 or more","Less than $30,000",213,0.4382716049382716
gender,declared,,Declared,male,Male,Male,182,0.3760330578512397
gender,steered,0.0,Neutral (N=0),male,Male,Male,177,0.365702479338843
gender,steered,2.0,Steered N=2,male,Male,Male,176,0.36363636363636365
gender,steered,4.0,Steered N=4,male,Male,Male,180,0.371900826446281
gender,steered,6.0,Steered N=6,male,Male,Male,177,0.365702479338843
gender,steered,8.0,Steered N=8,male,Male,Male,179,0.36983471074380164
gender,steered,10.0,Steered N=10,male,Male,Male,178,0.3677685950413223
gender,steered,12.0,Steered N=12,male,Male,Male,179,0.36983471074380164
gender,steered,14.0,Steered N=14,male,Male,Male,180,0.371900826446281
gender,steered,16.0,Steered N=16,male,Male,Male,181,0.3739669421487603
gender,steered,18.0,Steered N=18,male,Male,Male,177,0.365702479338843
gender,steered,20.0,Steered N=20,male,Male,Male,192,0.39669421487603307
gender,declared,,Declared,female,Female,Male,180,0.371900826446281
gender,steered,0.0,Neutral (N=0),female,Female,Male,177,0.365702479338843
gender,steered,2.0,Steered N=2,female,Female,Male,176,0.36363636363636365
gender,steered,4.0,Steered N=4,female,Female,Male,178,0.3677685950413223
gender,steered,6.0,Steered N=6,female,Female,Male,183,0.378099173553719
gender,steered,8.0,Steered N=8,female,Female,Male,186,0.384297520661157
gender,steered,10.0,Steered N=10,female,Female,Male,187,0.38636363636363635
gender,steered,12.0,Steered N=12,female,Female,Male,189,0.390495867768595
gender,steered,14.0,Steered N=14,female,Female,Male,192,0.39669421487603307
gender,steered,16.0,Steered N=16,female,Female,Male,190,0.3925619834710744
gender,steered,18.0,Steered N=18,female,Female,Male,190,0.3925619834710744
gender,steered,20.0,Steered N=20,female,Female,Male,187,0.38636363636363635
age,declared,,Declared,adult,30-49,30-49,231,0.47925311203319504
age,steered,0.0,Neutral (N=0),adult,30-49,30-49,238,0.49377593360995853
age,steered,2.0,Steered N=2,adult,30-49,30-49,238,0.49377593360995853
age,steered,4.0,Steered N=4,adult,30-49,30-49,241,0.5
age,steered,6.0,Steered N=6,adult,30-49,30-49,244,0.5062240663900415
age,steered,8.0,Steered N=8,adult,30-49,30-49,247,0.5124481327800829
age,steered,10.0,Steered N=10,adult,30-49,30-49,243,0.504149377593361
age,steered,12.0,Steered N=12,adult,30-49,30-49,239,0.495850622406639
age,steered,14.0,Steered N=14,adult,30-49,30-49,237,0.491701244813278
age,steered,16.0,Steered N=16,adult,30-49,30-49,236,0.4896265560165975
age,steered,18.0,Steered N=18,adult,30-49,30-49,237,0.491701244813278
age,steered,20.0,Steered N=20,adult,30-49,30-49,242,0.5020746887966805
age,declared,,Declared,older_adult,65+,30-49,231,0.47925311203319504
age,steered,0.0,Neutral (N=0),older_adult,65+,30-49,238,0.49377593360995853
age,steered,2.0,Steered N=2,older_adult,65+,30-49,238,0.49377593360995853
age,steered,4.0,Steered N=4,older_adult,65+,30-49,234,0.4854771784232365
age,steered,6.0,Steered N=6,older_adult,65+,30-49,236,0.4896265560165975
age,steered,8.0,Steered N=8,older_adult,65+,30-49,237,0.491701244813278
age,steered,10.0,Steered N=10,older_adult,65+,30-49,238,0.49377593360995853
age,steered,12.0,Steered N=12,older_adult,65+,30-49,240,0.4979253112033195
age,steered,14.0,Steered N=14,older_adult,65+,30-49,239,0.495850622406639
age,steered,16.0,Steered N=16,older_adult,65+,30-49,241,0.5
age,steered,18.0,Steered N=18,older_adult,65+,30-49,242,0.5020746887966805
age,steered,20.0,Steered N=20,older_adult,65+,30-49,247,0.5124481327800829
education,declared,,Declared,some schooling,Less than high school,High school graduate,99,0.2037037037037037
education,steered,0.0,Neutral (N=0),some schooling,Less than high school,Less than high school,134,0.2757201646090535
education,steered,2.0,Steered N=2,some schooling,Less than high school,Less than high school,135,0.2777777777777778
education,steered,4.0,Steered N=4,some schooling,Less than high school,Less than high school,136,0.27983539094650206
education,steered,6.0,Steered N=6,some schooling,Less than high school,Less than high school,137,0.28189300411522633
education,steered,8.0,Steered N=8,some schooling,Less than high school,Less than high school,136,0.27983539094650206
education,steered,10.0,Steered N=10,some schooling,Less than high school,Less than high school,138,0.2839506172839506
education,steered,12.0,Steered N=12,some schooling,Less than high school,Less than high school,143,0.294238683127572
education,steered,14.0,Steered N=14,some schooling,Less than high school,Less than high school,144,0.2962962962962963
education,steered,16.0,Steered N=16,some schooling,Less than high school,Less than high school,139,0.28600823045267487
education,steered,18.0,Steered N=18,some schooling,Less than high school,Less than high school,141,0.29012345679012347
education,steered,20.0,Steered N=20,some schooling,Less than high school,Less than high school,148,0.3045267489711934
education,declared,,Declared,high school,High school graduate,Less than high school,131,0.26954732510288065
education,steered,0.0,Neutral (N=0),high school,High school graduate,Less than high school,134,0.2757201646090535
education,steered,2.0,Steered N=2,high school,High school graduate,Less than high school,131,0.26954732510288065
education,steered,4.0,Steered N=4,high school,High school graduate,Less than high school,132,0.2716049382716049
education,steered,6.0,Steered N=6,high school,High school graduate,Less than high school,134,0.2757201646090535
education,steered,8.0,Steered N=8,high school,High school graduate,Less than high school,135,0.2777777777777778
education,steered,10.0,Steered N=10,high school,High school graduate,Less than high school,135,0.2777777777777778
education,steered,12.0,Steered N=12,high school,High school graduate,Less than high school,135,0.2777777777777778
education,steered,14.0,Steered N=14,high school,High school graduate,Less than high school,136,0.27983539094650206
education,steered,16.0,Steered N=16,high school,High school graduate,Less than high school,138,0.2839506172839506
education,steered,18.0,Steered N=18,high school,High school graduate,Less than high school,137,0.28189300411522633
education,steered,20.0,Steered N=20,high school,High school graduate,Less than high school,127,0.2613168724279835
education,declared,,Declared,college and more,College graduate/some postgrad,High school graduate,91,0.18724279835390947
education,steered,0.0,Neutral (N=0),college and more,College graduate/some postgrad,Less than high school,134,0.2757201646090535
education,steered,2.0,Steered N=2,college and more,College graduate/some postgrad,Less than high school,134,0.2757201646090535
education,steered,4.0,Steered N=4,college and more,College graduate/some postgrad,Less than high school,135,0.2777777777777778
education,steered,6.0,Steered N=6,college and more,College graduate/some postgrad,Less than high school,134,0.2757201646090535
education,steered,8.0,Steered N=8,college and more,College graduate/some postgrad,Less than high school,133,0.2736625514403292
education,steered,10.0,Steered N=10,college and more,College graduate/some postgrad,Less than high school,136,0.27983539094650206
education,steered,12.0,Steered N=12,college and more,College graduate/some postgrad,Less than high school,137,0.28189300411522633
education,steered,14.0,Steered N=14,college and more,College graduate/some postgrad,Less than high school,140,0.2880658436213992
education,steered,16.0,Steered N=16,college and more,College graduate/some postgrad,Less than high school,141,0.29012345679012347
education,steered,18.0,Steered N=18,college and more,College graduate/some postgrad,Less than high school,144,0.2962962962962963
education,steered,20.0,Steered N=20,college and more,College graduate/some postgrad,Less than high school,141,0.29012345679012347
education,steered,0.0,Neutral (N=0),some schooling,Less than high school,High school graduate,88,0.18106995884773663
education,steered,2.0,Steered N=2,some schooling,Less than high school,High school graduate,89,0.1831275720164609
education,steered,4.0,Steered N=4,some schooling,Less than high school,High school graduate,89,0.1831275720164609
education,steered,6.0,Steered N=6,some schooling,Less than high school,High school graduate,90,0.18518518518518517
education,steered,8.0,Steered N=8,some schooling,Less than high school,High school graduate,89,0.1831275720164609
education,steered,10.0,Steered N=10,some schooling,Less than high school,High school graduate,90,0.18518518518518517
education,steered,12.0,Steered N=12,some schooling,Less than high school,High school graduate,86,0.17695473251028807
education,steered,14.0,Steered N=14,some schooling,Less than high school,High school graduate,86,0.17695473251028807
education,steered,16.0,Steered N=16,some schooling,Less than high school,High school graduate,88,0.18106995884773663
education,steered,18.0,Steered N=18,some schooling,Less than high school,High school graduate,91,0.18724279835390947
education,steered,20.0,Steered N=20,some schooling,Less than high school,High school graduate,99,0.2037037037037037
education,declared,,Declared,high school,High school graduate,High school graduate,90,0.18518518518518517
education,steered,0.0,Neutral (N=0),high school,High school graduate,High school graduate,88,0.18106995884773663
education,steered,2.0,Steered N=2,high school,High school graduate,High school graduate,89,0.1831275720164609
education,steered,4.0,Steered N=4,high school,High school graduate,High school graduate,93,0.19135802469135801
education,steered,6.0,Steered N=6,high school,High school graduate,High school graduate,91,0.18724279835390947
education,steered,8.0,Steered N=8,high school,High school graduate,High school graduate,88,0.18106995884773663
education,steered,10.0,Steered N=10,high school,High school graduate,High school graduate,84,0.1728395061728395
education,steered,12.0,Steered N=12,high school,High school graduate,High school graduate,89,0.1831275720164609
education,steered,14.0,Steered N=14,high school,High school graduate,High school graduate,91,0.18724279835390947
education,steered,16.0,Steered N=16,high school,High school graduate,High school graduate,87,0.17901234567901234
education,steered,18.0,Steered N=18,high school,High school graduate,High school graduate,81,0.16666666666666666
education,steered,20.0,Steered N=20,high school,High school graduate,High school graduate,95,0.19547325102880658
education,steered,0.0,Neutral (N=0),college and more,College graduate/some postgrad,High school graduate,88,0.18106995884773663
education,steered,2.0,Steered N=2,college and more,College graduate/some postgrad,High school graduate,89,0.1831275720164609
education,steered,4.0,Steered N=4,college and more,College graduate/some postgrad,High school graduate,89,0.1831275720164609
education,steered,6.0,Steered N=6,college and more,College graduate/some postgrad,High school graduate,88,0.18106995884773663
education,steered,8.0,Steered N=8,college and more,College graduate/some postgrad,High school graduate,89,0.1831275720164609
education,steered,10.0,Steered N=10,college and more,College graduate/some postgrad,High school graduate,85,0.1748971193415638
education,steered,12.0,Steered N=12,college and more,College graduate/some postgrad,High school graduate,84,0.1728395061728395
education,steered,14.0,Steered N=14,college and more,College graduate/some postgrad,High school graduate,85,0.1748971193415638
education,steered,16.0,Steered N=16,college and more,College graduate/some postgrad,High school graduate,82,0.16872427983539096
education,steered,18.0,Steered N=18,college and more,College graduate/some postgrad,High school graduate,80,0.1646090534979424
education,steered,20.0,Steered N=20,college and more,College graduate/some postgrad,High school graduate,84,0.1728395061728395
socioeco,declared,,Declared,low,"Less than $30,000","$100,000 or more",246,0.5061728395061729
education,declared,,Declared,some schooling,Less than high school,Less than high school,132,0.2716049382716049
education,declared,,Declared,college and more,College graduate/some postgrad,Less than high school,123,0.25308641975308643
socioeco,steered,12.0,Steered N=12,low,"Less than $30,000","$100,000 or more",277,0.5699588477366255
socioeco,steered,14.0,Steered N=14,low,"Less than $30,000","$100,000 or more",278,0.5720164609053497
socioeco,steered,16.0,Steered N=16,low,"Less than $30,000","$100,000 or more",281,0.5781893004115226
socioeco,steered,18.0,Steered N=18,low,"Less than $30,000","$100,000 or more",276,0.5679012345679012
socioeco,steered,20.0,Steered N=20,low,"Less than $30,000","$100,000 or more",276,0.5679012345679012
socioeco,steered,14.0,Steered N=14,high,"$100,000 or more","$100,000 or more",278,0.5720164609053497
socioeco,steered,16.0,Steered N=16,high,"$100,000 or more","$100,000 or more",281,0.5781893004115226
socioeco,steered,18.0,Steered N=18,high,"$100,000 or more","$100,000 or more",281,0.5781893004115226
socioeco,steered,20.0,Steered N=20,high,"$100,000 or more","$100,000 or more",273,0.5617283950617284
socioeco,steered,0.0,Neutral (N=0),low,"Less than $30,000","$100,000 or more",277,0.5699588477366255
socioeco,steered,2.0,Steered N=2,low,"Less than $30,000","$100,000 or more",276,0.5679012345679012
socioeco,steered,4.0,Steered N=4,low,"Less than $30,000","$100,000 or more",276,0.5679012345679012
socioeco,steered,6.0,Steered N=6,low,"Less than $30,000","$100,000 or more",276,0.5679012345679012
socioeco,steered,8.0,Steered N=8,low,"Less than $30,000","$100,000 or more",276,0.5679012345679012
socioeco,declared,,Declared,high,"$100,000 or more","$100,000 or more",279,0.5740740740740741
socioeco,steered,0.0,Neutral (N=0),high,"$100,000 or more","$100,000 or more",277,0.5699588477366255
socioeco,steered,2.0,Steered N=2,high,"$100,000 or more","$100,000 or more",275,0.565843621399177
socioeco,steered,4.0,Steered N=4,high,"$100,000 or more","$100,000 or more",274,0.5637860082304527
socioeco,steered,6.0,Steered N=6,high,"$100,000 or more","$100,000 or more",274,0.5637860082304527
socioeco,steered,8.0,Steered N=8,high,"$100,000 or more","$100,000 or more",277,0.5699588477366255
socioeco,steered,10.0,Steered N=10,high,"$100,000 or more","$100,000 or more",278,0.5720164609053497
socioeco,steered,10.0,Steered N=10,low,"Less than $30,000","$100,000 or more",275,0.565843621399177
socioeco,steered,12.0,Steered N=12,high,"$100,000 or more","$100,000 or more",278,0.5720164609053497
