qkey,attribute,channel,magnitude,regime,model_class,human_attribute,human_group,own_human_group,is_own_group,wasserstein
CARRYGUN_W26,gender,steered,20.0,Steered N=20,male,SEX,Male,Male,True,0.29640929151489503
CARRYGUN_W26,gender,steered,20.0,Steered N=20,male,SEX,Female,Male,False,0.22010840295853168
CARRYGUN_W26,gender,declared,,Declared,female,SEX,Male,Female,False,0.42046036285157123
CARRYGUN_W26,gender,declared,,Declared,female,SEX,Female,Female,True,0.3511128797923859
CARRYGUN_W26,gender,steered,0.0,Neutral (N=0),female,SEX,Male,Female,False,0.6352443321485836
CARRYGUN_W26,gender,steered,0.0,Neutral (N=0),female,SEX,Female,Female,True,0.514781611222108
CARRYGUN_W26,gender,steered,2.0,Steered N=2,female,SEX,Male,Female,False,0.5942956926592213
CARRYGUN_W26,gender,steered,2.0,Steered N=2,female,SEX,Female,Female,True,0.5026344792829356
CARRYGUN_W26,gender,steered,4.0,Steered N=4,female,SEX,Male,Female,False,0.7647538936755139
CARRYGUN_W26,gender,steered,4.0,Steered N=4,female,SEX,Female,Female,True,0.6442911727490385
CARRYGUN_W26,gender,steered,6.0,Steered N=6,female,SEX,Male,Female,False,0.78900471
CARRYGUN_W26,gender,steered,6.0,Steered N=6,female,SEX,Female,Female,True,0.6685419890735245
CARRYGUN_W26,gender,steered,8.0,Steered N=8,female,SEX,Male,Female,False,0.6480902213917482
CARRYGUN_W26,gender,steered,8.0,Steered N=8,female,SEX,Female,Female,True,0.5276275004652727
CARRYGUN_W26,gender,steered,10.0,Steered N=10,female,SEX,Male,Female,False,0.31767227665243036
CARRYGUN_W26,gender,steered,10.0,Steered N=10,female,SEX,Female,Female,True,0.22872661313089585
CARRYGUN_W26,gender,steered,12.0,Steered N=12,female,SEX,Male,Female,False,0.32160434293421386
CARRYGUN_W26,gender,steered,12.0,Steered N=12,female,SEX,Female,Female,True,0.24530345437785048
CARRYGUN_W26,gender,steered,14.0,Steered N=14,female,SEX,Male,Female,False,0.33649232728614964
CARRYGUN_W26,gender,steered,14.0,Steered N=14,female,SEX,Female,Female,True,0.45695504821262517
CARRYGUN_W26,gender,steered,16.0,Steered N=16,female,SEX,Male,Female,False,0.4307488437569202
CARRYGUN_W26,gender,steered,16.0,Steered N=16,female,SEX,Female,Female,True,0.5512115646833957
CARRYGUN_W26,gender,steered,18.0,Steered N=18,female,SEX,Male,Female,False,0.43527185315435063
CARRYGUN_W26,gender,steered,18.0,Steered N=18,female,SEX,Female,Female,True,0.5557345740808262
CARRYGUN_W26,gender,steered,20.0,Steered N=20,female,SEX,Male,Female,False,0.396332355758525
CARRYGUN_W26,gender,steered,20.0,Steered N=20,female,SEX,Female,Female,True,0.5167950766850005
CARRYGUN_W26,age,declared,,Declared,adult,AGE,30-49,30-49,True,0.3577167092826239
CARRYGUN_W26,age,declared,,Declared,adult,AGE,65+,30-49,False,0.29753809928262387
CARRYGUN_W26,age,steered,0.0,Neutral (N=0),adult,AGE,30-49,30-49,True,0.5170512760417739
CARRYGUN_W26,age,steered,0.0,Neutral (N=0),adult,AGE,65+,30-49,False,0.4568726660417739
CARRYGUN_W26,age,steered,2.0,Steered N=2,adult,AGE,30-49,30-49,True,0.6324431699999999
CARRYGUN_W26,age,steered,2.0,Steered N=2,adult,AGE,65+,30-49,False,0.5477446
CARRYGUN_W26,age,steered,4.0,Steered N=4,adult,AGE,30-49,30-49,True,0.6701050153981271
CARRYGUN_W26,age,steered,4.0,Steered N=4,adult,AGE,65+,30-49,False,0.585406445398127
CARRYGUN_W26,age,steered,6.0,Steered N=6,adult,AGE,30-49,30-49,True,0.6783493822264769
CARRYGUN_W26,age,steered,6.0,Steered N=6,adult,AGE,65+,30-49,False,0.593650812226477
CARRYGUN_W26,age,steered,8.0,Steered N=8,adult,AGE,30-49,30-49,True,0.680628813222096
CARRYGUN_W26,age,steered,8.0,Steered N=8,adult,AGE,65+,30-49,False,0.595930243222096
CARRYGUN_W26,age,steered,10.0,Steered N=10,adult,AGE,30-49,30-49,True,0.6380619347412971
CARRYGUN_W26,age,steered,10.0,Steered N=10,adult,AGE,65+,30-49,False,0.5533633647412971
CARRYGUN_W26,age,steered,12.0,Steered N=12,adult,AGE,30-49,30-49,True,0.50458987
CARRYGUN_W26,age,steered,12.0,Steered N=12,adult,AGE,65+,30-49,False,0.41989129999999997
CARRYGUN_W26,age,steered,14.0,Steered N=14,adult,AGE,30-49,30-49,True,0.27847432
CARRYGUN_W26,age,steered,14.0,Steered N=14,adult,AGE,65+,30-49,False,0.19377575
CARRYGUN_W26,age,steered,16.0,Steered N=16,adult,AGE,30-49,30-49,True,0.1307144518945379
CARRYGUN_W26,age,steered,16.0,Steered N=16,adult,AGE,65+,30-49,False,0.0725014018945378
CARRYGUN_W26,age,steered,18.0,Steered N=18,adult,AGE,30-49,30-49,True,0.15761501882775786
CARRYGUN_W26,age,steered,18.0,Steered N=18,adult,AGE,65+,30-49,False,0.2423135888277579
CARRYGUN_W26,age,steered,20.0,Steered N=20,adult,AGE,30-49,30-49,True,0.2819939645102687
CARRYGUN_W26,age,steered,20.0,Steered N=20,adult,AGE,65+,30-49,False,0.3666925345102687
CARRYGUN_W26,age,declared,,Declared,older_adult,AGE,30-49,65+,False,0.277396999646464
CARRYGUN_W26,age,declared,,Declared,older_adult,AGE,65+,65+,True,0.24370390964646393
CARRYGUN_W26,age,steered,0.0,Neutral (N=0),older_adult,AGE,30-49,65+,False,0.5170512760417739
CARRYGUN_W26,age,steered,0.0,Neutral (N=0),older_adult,AGE,65+,65+,True,0.4568726660417739
CARRYGUN_W26,age,steered,2.0,Steered N=2,older_adult,AGE,30-49,65+,False,0.421894878792031
CARRYGUN_W26,age,steered,2.0,Steered N=2,older_adult,AGE,65+,65+,True,0.361716268792031
CARRYGUN_W26,age,steered,4.0,Steered N=4,older_adult,AGE,30-49,65+,False,0.34266765496878726
CARRYGUN_W26,age,steered,4.0,Steered N=4,older_adult,AGE,65+,65+,True,0.30897456496878717
CARRYGUN_W26,age,steered,6.0,Steered N=6,older_adult,AGE,30-49,65+,False,0.5478375785815741
CARRYGUN_W26,age,steered,6.0,Steered N=6,older_adult,AGE,65+,65+,True,0.6325361485815741
CARRYGUN_W26,age,steered,8.0,Steered N=8,older_adult,AGE,30-49,65+,False,0.54566245
CARRYGUN_W26,age,steered,8.0,Steered N=8,older_adult,AGE,65+,65+,True,0.63036102
CARRYGUN_W26,age,steered,10.0,Steered N=10,older_adult,AGE,30-49,65+,False,0.45423983882317737
CARRYGUN_W26,age,steered,10.0,Steered N=10,older_adult,AGE,65+,65+,True,0.5124528888231774
CARRYGUN_W26,age,steered,12.0,Steered N=12,older_adult,AGE,30-49,65+,False,0.5125026776232231
CARRYGUN_W26,age,steered,12.0,Steered N=12,older_adult,AGE,65+,65+,True,0.5707157276232231
CARRYGUN_W26,age,steered,14.0,Steered N=14,older_adult,AGE,30-49,65+,False,0.6547382911147073
CARRYGUN_W26,age,steered,14.0,Steered N=14,older_adult,AGE,65+,65+,True,0.7394368611147073
CARRYGUN_W26,age,steered,16.0,Steered N=16,older_adult,AGE,30-49,65+,False,0.7874550775380863
CARRYGUN_W26,age,steered,16.0,Steered N=16,older_adult,AGE,65+,65+,True,0.8721536475380863
CARRYGUN_W26,age,steered,18.0,Steered N=18,older_adult,AGE,30-49,65+,False,0.8364453200000002
CARRYGUN_W26,age,steered,18.0,Steered N=18,older_adult,AGE,65+,65+,True,0.9211438900000002
CARRYGUN_W26,age,steered,20.0,Steered N=20,older_adult,AGE,30-49,65+,False,0.8542243971344965
CARRYGUN_W26,age,steered,20.0,Steered N=20,older_adult,AGE,65+,65+,True,0.9389229671344965
CARRYGUN_W26,education,declared,,Declared,some schooling,EDUCATION,Less than high school,Less than high school,True,1.1751811597285846
CARRYGUN_W26,education,declared,,Declared,some schooling,EDUCATION,High school graduate,Less than high school,False,0.5355610697285845
CARRYGUN_W26,education,declared,,Declared,some schooling,EDUCATION,College graduate/some postgrad,Less than high school,False,0.5123288397285846
CARRYGUN_W26,education,steered,0.0,Neutral (N=0),some schooling,EDUCATION,Less than high school,Less than high school,True,1.1880386421485836
CARRYGUN_W26,education,steered,0.0,Neutral (N=0),some schooling,EDUCATION,High school graduate,Less than high school,False,0.5484185521485834
CARRYGUN_W26,education,steered,0.0,Neutral (N=0),some schooling,EDUCATION,College graduate/some postgrad,Less than high school,False,0.5251863221485835
CARRYGUN_W26,education,steered,2.0,Steered N=2,some schooling,EDUCATION,Less than high school,Less than high school,True,1.0649177854707506
CARRYGUN_W26,education,steered,2.0,Steered N=2,some schooling,EDUCATION,High school graduate,Less than high school,False,0.495287946898045
CARRYGUN_W26,education,steered,2.0,Steered N=2,some schooling,EDUCATION,College graduate/some postgrad,Less than high school,False,0.47730329689804507
CARRYGUN_W26,education,steered,4.0,Steered N=4,some schooling,EDUCATION,Less than high school,Less than high school,True,0.7705487967957796
CARRYGUN_W26,education,steered,4.0,Steered N=4,some schooling,EDUCATION,High school graduate,Less than high school,False,0.47804105533271246
CARRYGUN_W26,education,steered,4.0,Steered N=4,some schooling,EDUCATION,College graduate/some postgrad,Less than high school,False,0.4502870253327125
CARRYGUN_W26,education,steered,6.0,Steered N=6,some schooling,EDUCATION,Less than high school,Less than high school,True,0.5732469600000002
CARRYGUN_W26,education,steered,6.0,Steered N=6,some schooling,EDUCATION,High school graduate,Less than high school,False,0.69899625
CARRYGUN_W26,education,steered,6.0,Steered N=6,some schooling,EDUCATION,College graduate/some postgrad,Less than high school,False,0.67124222
CARRYGUN_W26,education,steered,8.0,Steered N=8,some schooling,EDUCATION,Less than high school,Less than high school,True,0.5026350677910063
CARRYGUN_W26,education,steered,8.0,Steered N=8,some schooling,EDUCATION,High school graduate,Less than high school,False,0.8397660246528784
CARRYGUN_W26,education,steered,8.0,Steered N=8,some schooling,EDUCATION,College graduate/some postgrad,Less than high school,False,0.8629982546528784
CARRYGUN_W26,education,steered,10.0,Steered N=10,some schooling,EDUCATION,Less than high school,Less than high school,True,0.4560204496295197
CARRYGUN_W26,education,steered,10.0,Steered N=10,some schooling,EDUCATION,High school graduate,Less than high school,False,0.6938755709540516
CARRYGUN_W26,education,steered,10.0,Steered N=10,some schooling,EDUCATION,College graduate/some postgrad,Less than high school,False,0.7171078009540516
CARRYGUN_W26,education,steered,12.0,Steered N=12,some schooling,EDUCATION,Less than high school,Less than high school,True,0.45080617297658
CARRYGUN_W26,education,steered,12.0,Steered N=12,some schooling,EDUCATION,High school graduate,Less than high school,False,0.5537005145488083
CARRYGUN_W26,education,steered,12.0,Steered N=12,some schooling,EDUCATION,College graduate/some postgrad,Less than high school,False,0.5259464845488083
CARRYGUN_W26,education,steered,14.0,Steered N=14,some schooling,EDUCATION,Less than high school,Less than high school,True,0.4036742700000001
CARRYGUN_W26,education,steered,14.0,Steered N=14,some schooling,EDUCATION,High school graduate,Less than high school,False,0.4557272
CARRYGUN_W26,education,steered,14.0,Steered N=14,some schooling,EDUCATION,College graduate/some postgrad,Less than high school,False,0.42797317
CARRYGUN_W26,education,steered,16.0,Steered N=16,some schooling,EDUCATION,Less than high school,Less than high school,True,0.3659003664412734
CARRYGUN_W26,education,steered,16.0,Steered N=16,some schooling,EDUCATION,High school graduate,Less than high school,False,0.4051814151848579
CARRYGUN_W26,education,steered,16.0,Steered N=16,some schooling,EDUCATION,College graduate/some postgrad,Less than high school,False,0.37742738518485786
CARRYGUN_W26,education,steered,18.0,Steered N=18,some schooling,EDUCATION,Less than high school,Less than high school,True,0.3808364380136183
CARRYGUN_W26,education,steered,18.0,Steered N=18,some schooling,EDUCATION,High school graduate,Less than high school,False,0.37980584810775014
CARRYGUN_W26,education,steered,18.0,Steered N=18,some schooling,EDUCATION,College graduate/some postgrad,Less than high school,False,0.3520518181077501
CARRYGUN_W26,education,steered,20.0,Steered N=20,some schooling,EDUCATION,Less than high school,Less than high school,True,0.3986114854599395
CARRYGUN_W26,education,steered,20.0,Steered N=20,some schooling,EDUCATION,High school graduate,Less than high school,False,0.3679047563031578
CARRYGUN_W26,education,steered,20.0,Steered N=20,some schooling,EDUCATION,College graduate/some postgrad,Less than high school,False,0.3401507263031578
CARRYGUN_W26,education,declared,,Declared,high school,EDUCATION,Less than high school,High school graduate,False,1.270809938587972
CARRYGUN_W26,education,declared,,Declared,high school,EDUCATION,High school graduate,High school graduate,True,0.6311898485879719
CARRYGUN_W26,education,declared,,Declared,high school,EDUCATION,College graduate/some postgrad,High school graduate,False,0.6079576185879719
CARRYGUN_W26,education,steered,0.0,Neutral (N=0),high school,EDUCATION,Less than high school,High school graduate,False,1.1880386421485836
CARRYGUN_W26,education,steered,0.0,Neutral (N=0),high school,EDUCATION,High school graduate,High school graduate,True,0.5484185521485834
CARRYGUN_W26,education,steered,0.0,Neutral (N=0),high school,EDUCATION,College graduate/some postgrad,High school graduate,False,0.5251863221485835
CARRYGUN_W26,education,steered,2.0,Steered N=2,high school,EDUCATION,Less than high school,High school graduate,False,1.1787491941116168
CARRYGUN_W26,education,steered,2.0,Steered N=2,high school,EDUCATION,High school graduate,High school graduate,True,0.5391291041116165
CARRYGUN_W26,education,steered,2.0,Steered N=2,high school,EDUCATION,College graduate/some postgrad,High school graduate,False,0.5158968741116166
CARRYGUN_W26,education,steered,4.0,Steered N=4,high school,EDUCATION,Less than high school,High school graduate,False,1.13926536
CARRYGUN_W26,education,steered,4.0,Steered N=4,high school,EDUCATION,High school graduate,High school graduate,True,0.49964527000000003
CARRYGUN_W26,education,steered,4.0,Steered N=4,high school,EDUCATION,College graduate/some postgrad,High school graduate,False,0.47641304000000007
CARRYGUN_W26,education,steered,6.0,Steered N=6,high school,EDUCATION,Less than high school,High school graduate,False,0.8918542006626582
CARRYGUN_W26,education,steered,6.0,Steered N=6,high school,EDUCATION,High school graduate,High school graduate,True,0.30053372274067164
CARRYGUN_W26,education,steered,6.0,Steered N=6,high school,EDUCATION,College graduate/some postgrad,High school graduate,False,0.28254907274067165
CARRYGUN_W26,education,steered,8.0,Steered N=8,high school,EDUCATION,Less than high school,High school graduate,False,0.45346830000000027
CARRYGUN_W26,education,steered,8.0,Steered N=8,high school,EDUCATION,High school graduate,High school graduate,True,0.29425223
CARRYGUN_W26,education,steered,8.0,Steered N=8,high school,EDUCATION,College graduate/some postgrad,High school graduate,False,0.2664982
CARRYGUN_W26,education,steered,10.0,Steered N=10,high school,EDUCATION,Less than high school,High school graduate,False,0.28685593470445514
CARRYGUN_W26,education,steered,10.0,Steered N=10,high school,EDUCATION,High school graduate,High school graduate,True,0.5917252940185599
CARRYGUN_W26,education,steered,10.0,Steered N=10,high school,EDUCATION,College graduate/some postgrad,High school graduate,False,0.6149575240185599
CARRYGUN_W26,education,steered,12.0,Steered N=12,high school,EDUCATION,Less than high school,High school graduate,False,0.25396986165420665
CARRYGUN_W26,education,steered,12.0,Steered N=12,high school,EDUCATION,High school graduate,High school graduate,True,0.8935899516542068
CARRYGUN_W26,education,steered,12.0,Steered N=12,high school,EDUCATION,College graduate/some postgrad,High school graduate,False,0.9168221816542068
CARRYGUN_W26,education,steered,14.0,Steered N=14,high school,EDUCATION,Less than high school,High school graduate,False,0.4474449019638058
CARRYGUN_W26,education,steered,14.0,Steered N=14,high school,EDUCATION,High school graduate,High school graduate,True,1.087064991963806
CARRYGUN_W26,education,steered,14.0,Steered N=14,high school,EDUCATION,College graduate/some postgrad,High school graduate,False,1.110297221963806
CARRYGUN_W26,education,steered,16.0,Steered N=16,high school,EDUCATION,Less than high school,High school graduate,False,0.5432989925654922
CARRYGUN_W26,education,steered,16.0,Steered N=16,high school,EDUCATION,High school graduate,High school graduate,True,1.1829190825654923
CARRYGUN_W26,education,steered,16.0,Steered N=16,high school,EDUCATION,College graduate/some postgrad,High school graduate,False,1.2061513125654924
CARRYGUN_W26,education,steered,18.0,Steered N=18,high school,EDUCATION,Less than high school,High school graduate,False,0.5895856385097552
CARRYGUN_W26,education,steered,18.0,Steered N=18,high school,EDUCATION,High school graduate,High school graduate,True,1.2292057285097555
CARRYGUN_W26,education,steered,18.0,Steered N=18,high school,EDUCATION,College graduate/some postgrad,High school graduate,False,1.2524379585097554
CARRYGUN_W26,education,steered,20.0,Steered N=20,high school,EDUCATION,Less than high school,High school graduate,False,0.6014690236415693
CARRYGUN_W26,education,steered,20.0,Steered N=20,high school,EDUCATION,High school graduate,High school graduate,True,1.2410891136415696
CARRYGUN_W26,education,steered,20.0,Steered N=20,high school,EDUCATION,College graduate/some postgrad,High school graduate,False,1.2643213436415695
CARRYGUN_W26,education,declared,,Declared,college and more,EDUCATION,Less than high school,College graduate/some postgrad,False,0.6476052170186044
CARRYGUN_W26,education,declared,,Declared,college and more,EDUCATION,High school graduate,College graduate/some postgrad,False,0.43410863484544354
CARRYGUN_W26,education,declared,,Declared,college and more,EDUCATION,College graduate/some postgrad,College graduate/some postgrad,True,0.40635460484544356
CARRYGUN_W26,education,steered,0.0,Neutral (N=0),college and more,EDUCATION,Less than high school,College graduate/some postgrad,False,1.1880386421485836
CARRYGUN_W26,education,steered,0.0,Neutral (N=0),college and more,EDUCATION,High school graduate,College graduate/some postgrad,False,0.5484185521485834
CARRYGUN_W26,education,steered,0.0,Neutral (N=0),college and more,EDUCATION,College graduate/some postgrad,College graduate/some postgrad,True,0.5251863221485835
CARRYGUN_W26,education,steered,2.0,Steered N=2,college and more,EDUCATION,Less than high school,College graduate/some postgrad,False,1.2778014969719205
CARRYGUN_W26,education,steered,2.0,Steered N=2,college and more,EDUCATION,High school graduate,College graduate/some postgrad,False,0.6381814069719203
CARRYGUN_W26,education,steered,2.0,Steered N=2,college and more,EDUCATION,College graduate/some postgrad,College graduate/some postgrad,True,0.6149491769719203
CARRYGUN_W26,education,steered,4.0,Steered N=4,college and more,EDUCATION,Less than high school,College graduate/some postgrad,False,1.2351686200000003
CARRYGUN_W26,education,steered,4.0,Steered N=4,college and more,EDUCATION,High school graduate,College graduate/some postgrad,False,0.59554853
CARRYGUN_W26,education,steered,4.0,Steered N=4,college and more,EDUCATION,College graduate/some postgrad,College graduate/some postgrad,True,0.5723163
CARRYGUN_W26,education,steered,6.0,Steered N=6,college and more,EDUCATION,Less than high school,College graduate/some postgrad,False,1.0650571957776138
CARRYGUN_W26,education,steered,6.0,Steered N=6,college and more,EDUCATION,High school graduate,College graduate/some postgrad,False,0.4254371057776136
CARRYGUN_W26,education,steered,6.0,Steered N=6,college and more,EDUCATION,College graduate/some postgrad,College graduate/some postgrad,True,0.4022048757776137
CARRYGUN_W26,education,steered,8.0,Steered N=8,college and more,EDUCATION,Less than high school,College graduate/some postgrad,False,0.8095747800000002
CARRYGUN_W26,education,steered,8.0,Steered N=8,college and more,EDUCATION,High school graduate,College graduate/some postgrad,False,0.25536103000000004
CARRYGUN_W26,education,steered,8.0,Steered N=8,college and more,EDUCATION,College graduate/some postgrad,College graduate/some postgrad,True,0.22235942000000003
CARRYGUN_W26,education,steered,10.0,Steered N=10,college and more,EDUCATION,Less than high school,College graduate/some postgrad,False,0.5377408830008013
CARRYGUN_W26,education,steered,10.0,Steered N=10,college and more,EDUCATION,High school graduate,College graduate/some postgrad,False,0.23114299605101984
CARRYGUN_W26,education,steered,10.0,Steered N=10,college and more,EDUCATION,College graduate/some postgrad,College graduate/some postgrad,True,0.24465576336742745
CARRYGUN_W26,education,steered,12.0,Steered N=12,college and more,EDUCATION,Less than high school,College graduate/some postgrad,False,0.3315621500381072
CARRYGUN_W26,education,steered,12.0,Steered N=12,college and more,EDUCATION,High school graduate,College graduate/some postgrad,False,0.4184662357475608
CARRYGUN_W26,education,steered,12.0,Steered N=12,college and more,EDUCATION,College graduate/some postgrad,College graduate/some postgrad,True,0.43645088574756075
CARRYGUN_W26,education,steered,14.0,Steered N=14,college and more,EDUCATION,Less than high school,College graduate/some postgrad,False,0.21326658795942727
CARRYGUN_W26,education,steered,14.0,Steered N=14,college and more,EDUCATION,High school graduate,College graduate/some postgrad,False,0.5265660951073325
CARRYGUN_W26,education,steered,14.0,Steered N=14,college and more,EDUCATION,College graduate/some postgrad,College graduate/some postgrad,True,0.5445507451073325
CARRYGUN_W26,education,steered,16.0,Steered N=16,college and more,EDUCATION,Less than high school,College graduate/some postgrad,False,0.23195058610571728
CARRYGUN_W26,education,steered,16.0,Steered N=16,college and more,EDUCATION,High school graduate,College graduate/some postgrad,False,0.5615759542640254
CARRYGUN_W26,education,steered,16.0,Steered N=16,college and more,EDUCATION,College graduate/some postgrad,College graduate/some postgrad,True,0.5795606042640253
CARRYGUN_W26,education,steered,18.0,Steered N=18,college and more,EDUCATION,Less than high school,College graduate/some postgrad,False,0.27262488352280956
CARRYGUN_W26,education,steered,18.0,Steered N=18,college and more,EDUCATION,High school graduate,College graduate/some postgrad,False,0.5573728202183077
CARRYGUN_W26,education,steered,18.0,Steered N=18,college and more,EDUCATION,College graduate/some postgrad,College graduate/some postgrad,True,0.5753574702183076
CARRYGUN_W26,education,steered,20.0,Steered N=20,college and more,EDUCATION,Less than high school,College graduate/some postgrad,False,0.30989571272659255
CARRYGUN_W26,education,steered,20.0,Steered N=20,college and more,EDUCATION,High school graduate,College graduate/some postgrad,False,0.5402737726549655
CARRYGUN_W26,education,steered,20.0,Steered N=20,college and more,EDUCATION,College graduate/some postgrad,College graduate/some postgrad,True,0.5582584226549654
CARRYGUN_W26,socioeco,declared,,Declared,low,INCOME,"Less than $30,000","Less than $30,000",True,0.4259758700472522
CARRYGUN_W26,socioeco,declared,,Declared,low,INCOME,"$100,000 or more","Less than $30,000",False,0.6609052224549297
CARRYGUN_W26,socioeco,steered,0.0,Neutral (N=0),low,INCOME,"Less than $30,000","Less than $30,000",True,0.562185436041774
CARRYGUN_W26,socioeco,steered,0.0,Neutral (N=0),low,INCOME,"$100,000 or more","Less than $30,000",False,0.8092498921485833
CARRYGUN_W26,socioeco,steered,2.0,Steered N=2,low,INCOME,"Less than $30,000","Less than $30,000",True,0.5088868674879012
CARRYGUN_W26,socioeco,steered,2.0,Steered N=2,low,INCOME,"$100,000 or more","Less than $30,000",False,0.7307934052897267
CARRYGUN_W26,socioeco,steered,4.0,Steered N=4,low,INCOME,"Less than $30,000","Less than $30,000",True,0.46094843700851695
CARRYGUN_W26,socioeco,steered,4.0,Steered N=4,low,INCOME,"$100,000 or more","Less than $30,000",False,0.675460034736393
CARRYGUN_W26,socioeco,steered,6.0,Steered N=6,low,INCOME,"Less than $30,000","Less than $30,000",True,0.48247929334295325
CARRYGUN_W26,socioeco,steered,6.0,Steered N=6,low,INCOME,"$100,000 or more","Less than $30,000",False,0.7218255612002904
CARRYGUN_W26,socioeco,steered,8.0,Steered N=8,low,INCOME,"Less than $30,000","Less than $30,000",True,0.5733694587963631
CARRYGUN_W26,socioeco,steered,8.0,Steered N=8,low,INCOME,"$100,000 or more","Less than $30,000",False,0.8597737494771818
CARRYGUN_W26,socioeco,steered,10.0,Steered N=10,low,INCOME,"Less than $30,000","Less than $30,000",True,0.6273727028187266
CARRYGUN_W26,socioeco,steered,10.0,Steered N=10,low,INCOME,"$100,000 or more","Less than $30,000",False,0.9154661628187266
CARRYGUN_W26,socioeco,steered,12.0,Steered N=12,low,INCOME,"Less than $30,000","Less than $30,000",True,0.60186885
CARRYGUN_W26,socioeco,steered,12.0,Steered N=12,low,INCOME,"$100,000 or more","Less than $30,000",False,0.8419846099999999
CARRYGUN_W26,socioeco,steered,14.0,Steered N=14,low,INCOME,"Less than $30,000","Less than $30,000",True,0.5131315425910441
CARRYGUN_W26,socioeco,steered,14.0,Steered N=14,low,INCOME,"$100,000 or more","Less than $30,000",False,0.6023033320144783
CARRYGUN_W26,socioeco,steered,16.0,Steered N=16,low,INCOME,"Less than $30,000","Less than $30,000",True,0.5638050268823962
CARRYGUN_W26,socioeco,steered,16.0,Steered N=16,low,INCOME,"$100,000 or more","Less than $30,000",False,0.35471914270529414
CARRYGUN_W26,socioeco,steered,18.0,Steered N=18,low,INCOME,"Less than $30,000","Less than $30,000",True,0.7159055223571783
CARRYGUN_W26,socioeco,steered,18.0,Steered N=18,low,INCOME,"$100,000 or more","Less than $30,000",False,0.4796218423571783
CARRYGUN_W26,socioeco,steered,20.0,Steered N=20,low,INCOME,"Less than $30,000","Less than $30,000",True,0.9865302470077253
CARRYGUN_W26,socioeco,steered,20.0,Steered N=20,low,INCOME,"$100,000 or more","Less than $30,000",False,0.6984367870077253
CARRYGUN_W26,socioeco,declared,,Declared,high,INCOME,"Less than $30,000","$100,000 or more",False,0.49241177893422594
CARRYGUN_W26,socioeco,declared,,Declared,high,INCOME,"$100,000 or more","$100,000 or more",True,0.780505238934226
CARRYGUN_W26,socioeco,steered,0.0,Neutral (N=0),high,INCOME,"Less than $30,000","$100,000 or more",False,0.562185436041774
CARRYGUN_W26,socioeco,steered,0.0,Neutral (N=0),high,INCOME,"$100,000 or more","$100,000 or more",True,0.8092498921485833
CARRYGUN_W26,socioeco,steered,2.0,Steered N=2,high,INCOME,"Less than $30,000","$100,000 or more",False,0.5386735044284646
CARRYGUN_W26,socioeco,steered,2.0,Steered N=2,high,INCOME,"$100,000 or more","$100,000 or more",True,0.7231644295731257
CARRYGUN_W26,socioeco,steered,4.0,Steered N=4,high,INCOME,"Less than $30,000","$100,000 or more",False,0.40378779574764223
CARRYGUN_W26,socioeco,steered,4.0,Steered N=4,high,INCOME,"$100,000 or more","$100,000 or more",True,0.5243274629002697
